[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1578763681.705000 1/11/2020, 11:28:01 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, BD1-3r
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: FC-ZFC LTSIRM and RTSIRM LTD 10K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1578763681.705,,0.000000e+000,9.985746e+000,2.200356e-001,0.000000e+000,3,9.907171e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.316071e-003,0.000000e+000,0,,0,
1578763776.355,,0.000000e+000,1.598473e+001,2.048704e-001,0.000000e+000,3,9.907805e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.968600e+000,0.000000e+000,0,,0,
1578763838.535,,0.000000e+000,2.100872e+001,1.984059e-001,0.000000e+000,3,9.909518e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.001410e+000,0.000000e+000,0,,0,
1578763902.156,,0.000000e+000,2.619016e+001,1.938912e-001,0.000000e+000,3,9.910033e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.083309e+000,0.000000e+000,0,,0,
1578763963.686,,0.000000e+000,3.115346e+001,1.900994e-001,0.000000e+000,3,9.908527e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.155741e+000,0.000000e+000,0,,0,
1578764024.886,,0.000000e+000,3.623415e+001,1.864940e-001,0.000000e+000,3,9.909607e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.075951e+000,0.000000e+000,0,,0,
1578764083.046,,0.000000e+000,4.140321e+001,1.830448e-001,0.000000e+000,3,9.909123e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.971863e+000,0.000000e+000,0,,0,
1578764143.376,,0.000000e+000,4.607925e+001,1.803662e-001,0.000000e+000,3,9.909095e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.946980e+000,0.000000e+000,0,,0,
1578764201.696,,0.000000e+000,5.117828e+001,1.782196e-001,0.000000e+000,3,9.909297e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.965191e+000,0.000000e+000,0,,0,
1578764262.506,,0.000000e+000,5.607139e+001,1.763004e-001,0.000000e+000,3,9.907285e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.893559e+000,0.000000e+000,0,,0,
1578764320.206,,0.000000e+000,6.110703e+001,1.745397e-001,0.000000e+000,3,9.908310e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.025711e+000,0.000000e+000,0,,0,
1578764384.416,,0.000000e+000,6.603400e+001,1.716059e-001,0.000000e+000,3,9.909052e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.807915e+000,0.000000e+000,0,,0,
1578764444.416,,0.000000e+000,7.117425e+001,1.680505e-001,0.000000e+000,3,9.907395e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.122849e+000,0.000000e+000,0,,0,
1578764501.416,,0.000000e+000,7.598865e+001,1.633047e-001,0.000000e+000,3,9.902904e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.935471e+000,0.000000e+000,0,,0,
1578764560.466,,0.000000e+000,8.121783e+001,1.565610e-001,0.000000e+000,3,9.900768e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.216125e+000,0.000000e+000,0,,0,
1578764617.717,,0.000000e+000,8.647624e+001,1.470202e-001,0.000000e+000,3,9.897040e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.040733e+000,0.000000e+000,0,,0,
1578764692.197,,0.000000e+000,9.258197e+001,1.305039e-001,0.000000e+000,3,9.894437e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.212341e-001,0.000000e+000,0,,0,
