[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1578331103.232000 1/6/2020, 11:18:23 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, AX3-2r-ni
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: FC-ZFC LTSIRM and RTSIRM LTD 10K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1578331103.232,,0.000000e+000,9.993249e+000,1.474989e-005,0.000000e+000,3,9.668795e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.270004e-003,0.000000e+000,0,,0,
1578331186.222,,0.000000e+000,1.561626e+001,1.218291e-005,0.000000e+000,3,9.645798e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.512701e-001,0.000000e+000,0,,0,
1578331245.702,,0.000000e+000,2.050278e+001,1.030070e-005,0.000000e+000,3,9.655507e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.741707e-001,0.000000e+000,0,,0,
1578331307.922,,0.000000e+000,2.565661e+001,9.063959e-006,0.000000e+000,3,9.664163e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.102993e-001,0.000000e+000,0,,0,
1578331367.402,,0.000000e+000,3.053091e+001,8.542494e-006,0.000000e+000,3,9.620886e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.528103e-001,0.000000e+000,0,,0,
1578331428.982,,0.000000e+000,3.552697e+001,8.055051e-006,0.000000e+000,3,9.550351e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.349899e-001,0.000000e+000,0,,0,
1578331515.402,,0.000000e+000,4.273252e+001,7.520535e-006,0.000000e+000,3,9.590811e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.916000e-001,0.000000e+000,0,,0,
1578331549.932,,0.000000e+000,4.562766e+001,7.437523e-006,0.000000e+000,3,9.621105e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.248505e-001,0.000000e+000,0,,0,
1578331609.182,,0.000000e+000,5.050727e+001,7.320641e-006,0.000000e+000,3,9.619468e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.971214e-001,0.000000e+000,0,,0,
1578331670.892,,0.000000e+000,5.550976e+001,6.952641e-006,0.000000e+000,3,9.716215e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.685799e-001,0.000000e+000,0,,0,
1578331728.882,,0.000000e+000,6.043548e+001,7.040277e-006,0.000000e+000,3,9.504508e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.644218e-001,0.000000e+000,0,,0,
1578331789.953,,0.000000e+000,6.560880e+001,6.946589e-006,0.000000e+000,3,9.589490e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.085999e-001,0.000000e+000,0,,0,
