tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
AX1-1b	AX1-1		This study	LP-NOMAG		
AX1-2b	AX1-2		This study	LP-NOMAG		
AX1-3b	AX1-3		This study	LP-NOMAG		
AX1-4b	AX1-4		This study	LP-NOMAG		
AX1-5b	AX1-5		This study	LP-NOMAG		
AX1-6b	AX1-6		This study	LP-NOMAG		
AX1-7b	AX1-7		This study	LP-NOMAG		
AX1-8b	AX1-8		This study	LP-NOMAG		
AX3-1b	AX3-1		This study	LP-NOMAG		
AX3-2b	AX3-2		This study	LP-NOMAG		
AX3-3b	AX3-3		This study	LP-NOMAG		
AX3-4b	AX3-4		This study	LP-NOMAG		
AX3-5b	AX3-5		This study	LP-NOMAG		
AX3-6b	AX3-6		This study	LP-NOMAG		
AX3-7b	AX3-7		This study	LP-NOMAG		
AX3-8b	AX3-8		This study	LP-NOMAG		
AX3-9b	AX3-9		This study	LP-NOMAG		
AX3-10b	AX3-10		This study	LP-NOMAG		
AX5-1b	AX5-1		This study	LP-NOMAG		
AX5-3b	AX5-3		This study	LP-NOMAG		
AX6-1b	AX6-1		This study	LP-NOMAG		
AX6-2b	AX6-2		This study	LP-NOMAG		
AX6-3b	AX6-3		This study	LP-NOMAG		
AX7-1b	AX7-1		This study	LP-NOMAG		
AX7-2b	AX7-2		This study	LP-NOMAG		
AX8-1b	AX8-1		This study	LP-NOMAG		
AX8-2b	AX8-2		This study	LP-NOMAG		
AX8-3b	AX8-3		This study	LP-NOMAG		
AX9-1b	AX9-1		This study	LP-NOMAG		
AX9-2b	AX9-2		This study	LP-NOMAG		
AX10-1b	AX10-1		This study	LP-NOMAG		
AX10-2b	AX10-2		This study	LP-NOMAG		
AX10-3b	AX10-3		This study	LP-NOMAG		
AX11-1b	AX11-1		This study	LP-NOMAG		
AX11-2b	AX11-2		This study	LP-NOMAG		
AX11-4b	AX11-4		This study	LP-NOMAG		
AX11-5b	AX11-5		This study	LP-NOMAG		
AX11-6b	AX11-6		This study	LP-NOMAG		
AX11-7b	AX11-7		This study	LP-NOMAG		
AX11-8b	AX11-8		This study	LP-NOMAG		
AX11-9b	AX11-9		This study	LP-NOMAG		
AX12-1b	AX12-1		This study	LP-NOMAG		
AX12-2b	AX12-2		This study	LP-NOMAG		
AX12-4b	AX12-4		This study	LP-NOMAG		
AX12-5b	AX12-5		This study	LP-NOMAG		
AX12-6b	AX12-6		This study	LP-NOMAG		
AX12-7b	AX12-7		This study	LP-NOMAG		
AX13-1b	AX13-1		This study	LP-NOMAG		
AX13-2b	AX13-2		This study	LP-NOMAG		
AX13-3b	AX13-3		This study	LP-NOMAG		
AX13-4b	AX13-4		This study	LP-NOMAG		
AX13-5b	AX13-5		This study	LP-NOMAG		
AX13-6b	AX13-6		This study	LP-NOMAG		
AX13-7b	AX13-7		This study	LP-NOMAG		
AX13-8b	AX13-8		This study	LP-NOMAG		
AX13-9b	AX13-9		This study	LP-NOMAG		
AX15-1b	AX15-1		This study	LP-NOMAG		
AX15-2b	AX15-2		This study	LP-NOMAG		
AX15-3b	AX15-3		This study	LP-NOMAG		
AX15-4b	AX15-4		This study	LP-NOMAG		
AX15-5b	AX15-5		This study	LP-NOMAG		
AX15-6b	AX15-6		This study	LP-NOMAG		
AX15-7b	AX15-7		This study	LP-NOMAG		
AX15-8b	AX15-8		This study	LP-NOMAG		
AX16-1b	AX16-1		This study	LP-NOMAG		
AX16-2b	AX16-2		This study	LP-NOMAG		
AX16-3b	AX16-3		This study	LP-NOMAG		
AX16-4b	AX16-4		This study	LP-NOMAG		
AX16-5b	AX16-5		This study	LP-NOMAG		
AX16-6b	AX16-6		This study	LP-NOMAG		
AX16-7b	AX16-7		This study	LP-NOMAG		
