tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
AX16-8b	AX16-8		This study	LP-NOMAG		
AX22-1a	AX22-1		This study	LP-NOMAG		
AX22-2a	AX22-2		This study	LP-NOMAG		
AX22-3a	AX22-3		This study	LP-NOMAG		
AX22-4a	AX22-4		This study	LP-NOMAG		
AX22-5a	AX22-5		This study	LP-NOMAG		
AX22-6a	AX22-6		This study	LP-NOMAG		
AX22-7a	AX22-7		This study	LP-NOMAG		
AX22-8a	AX22-8		This study	LP-NOMAG		
AX22-9a	AX22-9		This study	LP-NOMAG		
AX22-10a	AX22-10		This study	LP-NOMAG		
BD1-1a	BD1-1		This study	LP-NOMAG		
BD1-2a	BD1-2		This study	LP-NOMAG		
BD1-3a	BD1-3		This study	LP-NOMAG		
BD1-4a	BD1-4		This study	LP-NOMAG		
BD1-5a	BD1-5		This study	LP-NOMAG		
BD1-6a	BD1-6		This study	LP-NOMAG		
BD1-7a	BD1-7		This study	LP-NOMAG		
BD1-8a	BD1-8		This study	LP-NOMAG		
BD1-9a	BD1-9		This study	LP-NOMAG		
BD1-10a	BD1-10		This study	LP-NOMAG		
BD1-11a	BD1-11		This study	LP-NOMAG		
BD1-12a	BD1-12		This study	LP-NOMAG		
BD1-13a	BD1-13		This study	LP-NOMAG		
BD1-14a	BD1-14		This study	LP-NOMAG		
BD1-15a	BD1-15		This study	LP-NOMAG		
BD2-1a	BD2-1		This study	LP-NOMAG		
BD2-2a	BD2-2		This study	LP-NOMAG		
BD2-3a	BD2-3		This study	LP-NOMAG		
BD2-4a	BD2-4		This study	LP-NOMAG		
BD2-5a	BD2-5		This study	LP-NOMAG		
BD2-6a	BD2-6		This study	LP-NOMAG		
BD2-7a	BD2-7		This study	LP-NOMAG		
BD2-8a	BD2-8		This study	LP-NOMAG		
BD5-1a	BD5-1		This study	LP-NOMAG		
BD5-2a	BD5-2		This study	LP-NOMAG		
BD5-3a	BD5-3		This study	LP-NOMAG		
BD5-4a	BD5-4		This study	LP-NOMAG		
BD5-5a	BD5-5		This study	LP-NOMAG		
BD5-6a	BD5-6		This study	LP-NOMAG		
BD5-7a	BD5-7		This study	LP-NOMAG		
BD5-8a	BD5-8		This study	LP-NOMAG		
BD6-1a	BD6-1		This study	LP-NOMAG		
BD6-2a	BD6-2		This study	LP-NOMAG		
BD6-3a	BD6-3		This study	LP-NOMAG		
BD6-4a	BD6-4		This study	LP-NOMAG		
BD6-5a	BD6-5		This study	LP-NOMAG		
BD6-6a	BD6-6		This study	LP-NOMAG		
BD6-7a	BD6-7		This study	LP-NOMAG		
BD6-8a	BD6-8		This study	LP-NOMAG		
BD6-9a	BD6-9		This study	LP-NOMAG		
BD7-1a	BD7-1		This study	LP-NOMAG		
BD7-2a	BD7-2		This study	LP-NOMAG		
BD7-3a	BD7-3		This study	LP-NOMAG		
BD7-4a	BD7-4		This study	LP-NOMAG		
BD7-5a	BD7-5		This study	LP-NOMAG		
BD7-6a	BD7-6		This study	LP-NOMAG		
BD7-7a	BD7-7		This study	LP-NOMAG		
BD8-1a	BD8-1		This study	LP-NOMAG		
BD8-2a	BD8-2		This study	LP-NOMAG		
BD8-3a	BD8-3		This study	LP-NOMAG		
BD8-4a	BD8-4		This study	LP-NOMAG		
BD8-5a	BD8-5		This study	LP-NOMAG		
BD8-6a	BD8-6		This study	LP-NOMAG		
BD8-7a	BD8-7		This study	LP-NOMAG		
BD8-8a	BD8-8		This study	LP-NOMAG		
BD8-9a	BD8-9		This study	LP-NOMAG		
BD8-10a	BD8-10		This study	LP-NOMAG		
BD9-1a	BD9-1		This study	LP-NOMAG		
BD9-2a	BD9-2		This study	LP-NOMAG		
BD9-3a	BD9-3		This study	LP-NOMAG		
BD9-4a	BD9-4		This study	LP-NOMAG		
BD9-5a	BD9-5		This study	LP-NOMAG		
BD9-6a	BD9-6		This study	LP-NOMAG		
BD9-7a	BD9-7		This study	LP-NOMAG		
BD9-8a	BD9-8		This study	LP-NOMAG		
