tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AX15	Northern Minnesota	AX15-1:AX15-2:AX15-3:AX15-4:AX15-5:AX15-6:AX15-7:AX15-8	AX15-1b:AX15-2b:AX15-3b:AX15-4b:AX15-5b:AX15-6b:AX15-7b:AX15-8b	    6.0 	mt	  282.9 	   42.3 	    86 	8	8 	8 	0 	t	7.9185 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    7.4 	    4.5 	   26.2 	  187.1 
AX16	Northern Minnesota	AX16-1:AX16-2:AX16-3:AX16-4:AX16-5:AX16-6:AX16-7:AX16-8	AX16-1b:AX16-2b:AX16-3b:AX16-4b:AX16-5b:AX16-6b:AX16-7b:AX16-8b	    2.8 	mt	  273.7 	   39.1 	   396 	8	8 	8 	0 	t	7.9823 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    3.3 	    2.0 	   18.5 	  191.5 
AX16	Northern Minnesota	AX16-1:AX16-2:AX16-3:AX16-4:AX16-5:AX16-6:AX16-7:AX16-8	AX16-1b:AX16-2b:AX16-3b:AX16-4b:AX16-5b:AX16-6b:AX16-7b:AX16-8b	    2.8 	mt	  273.7 	   39.1 	   396 	8	8 	8 	0 	t	7.9823 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    3.3 	    2.0 	   18.5 	  191.5 
AX22	Northern Minnesota	AX22-10:AX22-1:AX22-2:AX22-3:AX22-5:AX22-6:AX22-7:AX22-8:AX22-9	AX22-10a:AX22-1a:AX22-2a:AX22-3a:AX22-5a:AX22-6a:AX22-7a:AX22-8a:AX22-9a	    3.6 	mt	  297.2 	   43.1 	   208 	9	9 	9 	0 	n	8.9615 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    4.5 	    2.8 	   36.3 	  177.5 
AX22	Northern Minnesota	AX22-10:AX22-1:AX22-2:AX22-3:AX22-5:AX22-6:AX22-7:AX22-8:AX22-9	AX22-10a:AX22-1a:AX22-2a:AX22-3a:AX22-5a:AX22-6a:AX22-7a:AX22-8a:AX22-9a	    3.6 	mt	  297.2 	   43.1 	   208 	9	9 	9 	0 	n	8.9615 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    4.5 	    2.8 	   36.3 	  177.5 
AX3	Northern Minnesota	AX3-10:AX3-1:AX3-2:AX3-3:AX3-4:AX3-5:AX3-6:AX3-7:AX3-8:AX3-9	AX3-10b:AX3-1b:AX3-2b:AX3-3b:AX3-4b:AX3-5b:AX3-6b:AX3-7b:AX3-8b:AX3-9b	    5.7 	mt	  291.5 	   27.9 	    74 	10	10 	10 	0 	t	9.8780 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    6.2 	    3.4 	   25.4 	  173.1 
AX3	Northern Minnesota	AX3-10:AX3-1:AX3-2:AX3-3:AX3-4:AX3-5:AX3-6:AX3-7:AX3-8:AX3-9	AX3-10b:AX3-1b:AX3-2b:AX3-3b:AX3-4b:AX3-5b:AX3-6b:AX3-7b:AX3-8b:AX3-9b	    5.7 	mt	  291.5 	   27.9 	    74 	10	10 	10 	0 	t	9.8780 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.2 	    3.4 	   25.4 	  173.1 
AX5	Northern Minnesota	AX5-1:AX5-3	AX5-1b:AX5-3b	   14.1 	mt	  290.8 	   28.0 	   317 	2	2 	2 	0 	t	1.9968 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   15.4 	    8.4 	   24.9 	  173.7 
AX5	Northern Minnesota	AX5-1:AX5-3	AX5-1b:AX5-3b	   14.1 	mt	  290.8 	   28.0 	   317 	2	2 	2 	0 	t	1.9968 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   15.4 	    8.4 	   24.9 	  173.7 
AX6	Northern Minnesota	AX6-1:AX6-2:AX6-3	AX6-1b:AX6-2b:AX6-3b	    7.0 	mt	  286.2 	   29.2 	   308 	3	3 	3 	0 	t	2.9935 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    7.7 	    4.3 	   22.3 	  177.7 
