tab 	specimens
analysts	citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
	This study	mt	0.6	282.2	45.9	2.6	1	11	0	AX18-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 10:53:06	u	Anorthosite	883	813	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX18-2	pmagpy-4.2.24-1: demag_gui	AX18-2b
	This study	mt	0.6	273.9	57	2.6	1	11	100	AX18-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 10:53:06	u	Anorthosite	883	813	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX18-2	pmagpy-4.2.24-1: demag_gui	AX18-2b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX18-3		AX18-3b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX18-3		AX18-3b
	This study	mt	0.8	175.9	73.4	1.9	1	11	-1	AX18-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 10:57:36	u	Anorthosite	883	813	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX18-3	pmagpy-4.2.24-1: demag_gui	AX18-3b
	This study	mt	0.8	272.8	58.6	1.9	1	11	100	AX18-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 10:57:36	u	Anorthosite	883	813	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX18-3	pmagpy-4.2.24-1: demag_gui	AX18-3b
	This study	mt	0.8	281.8	47.6	1.9	1	11	0	AX18-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 10:57:36	u	Anorthosite	883	813	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX18-3	pmagpy-4.2.24-1: demag_gui	AX18-3b
	This study	mt	1.5	274.1	51.3	1.6	1	12	100	AX18-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 10:59:12	u	Anorthosite	883	793	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX18-4	pmagpy-4.2.24-1: demag_gui	AX18-4b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX18-4		AX18-4b
	This study	mt	1.5	332.9	72.8	1.6	1	12	-1	AX18-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 10:59:12	u	Anorthosite	883	793	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX18-4	pmagpy-4.2.24-1: demag_gui	AX18-4b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX18-4		AX18-4b
	This study	mt	1.5	281	40.2	1.6	1	12	0	AX18-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 10:59:12	u	Anorthosite	883	793	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX18-4	pmagpy-4.2.24-1: demag_gui	AX18-4b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX18-5		AX18-5b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX18-5		AX18-5b
	This study	mt	1.4	282.9	42.3	1.6	1	12	0	AX18-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:00:44	u	Anorthosite	863	773	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX18-5	pmagpy-4.2.24-1: demag_gui	AX18-5b
	This study	mt	1.4	275.9	53.6	1.6	1	12	100	AX18-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:00:44	u	Anorthosite	863	773	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX18-5	pmagpy-4.2.24-1: demag_gui	AX18-5b
	This study	mt	1.4	30.3	69.5	1.6	1	12	-1	AX18-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:00:44	u	Anorthosite	863	773	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX18-5	pmagpy-4.2.24-1: demag_gui	AX18-5b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX18-6		AX18-6b
	This study	mt	1.6	274.4	56.6	1.7	1	13	100	AX18-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:02:13	u	Anorthosite	883	773	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX18-6	pmagpy-4.2.24-1: demag_gui	AX18-6b
	This study	mt	1.6	282.5	45.4	1.7	1	13	0	AX18-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:02:13	u	Anorthosite	883	773	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX18-6	pmagpy-4.2.24-1: demag_gui	AX18-6b
	This study	mt	1.6	307.1	70.2	1.7	1	13	-1	AX18-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:02:13	u	Anorthosite	883	773	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX18-6	pmagpy-4.2.24-1: demag_gui	AX18-6b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX18-6		AX18-6b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX18-7		AX18-7b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX18-7		AX18-7b
	This study	mt	1.5	285.2	45.4	1.5	1	13	0	AX18-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:03:42	u	Anorthosite	883	773	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX18-7	pmagpy-4.2.24-1: demag_gui	AX18-7b
	This study	mt	1.5	277.9	56.9	1.5	1	13	100	AX18-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:03:42	u	Anorthosite	883	773	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX18-7	pmagpy-4.2.24-1: demag_gui	AX18-7b
	This study	mt	1.5	123.6	87.4	1.5	1	13	-1	AX18-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:03:42	u	Anorthosite	883	773	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX18-7	pmagpy-4.2.24-1: demag_gui	AX18-7b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX18-8		AX18-8b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX18-8		AX18-8b
	This study	mt	0.5	281.1	57	1.5	1	9	100	AX18-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:05:14	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX18-8	pmagpy-4.2.24-1: demag_gui	AX18-8b
	This study	mt	0.5	287.7	45.2	1.5	1	9	0	AX18-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:05:14	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX18-8	pmagpy-4.2.24-1: demag_gui	AX18-8b
	This study	mt	0.5	121.1	75.6	1.5	1	9	-1	AX18-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:05:14	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX18-8	pmagpy-4.2.24-1: demag_gui	AX18-8b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX18-9		AX18-9b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX18-9		AX18-9b
	This study	mt	1	277.7	62.8	2.5	1	12	100	AX18-9b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:06:47	u	Anorthosite	883	793	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX18-9	pmagpy-4.2.24-1: demag_gui	AX18-9b
	This study	mt	1	166.9	56.5	2.5	1	12	-1	AX18-9b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:06:47	u	Anorthosite	883	793	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX18-9	pmagpy-4.2.24-1: demag_gui	AX18-9b
	This study	mt	1	286.6	51.3	2.5	1	12	0	AX18-9b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:06:47	u	Anorthosite	883	793	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX18-9	pmagpy-4.2.24-1: demag_gui	AX18-9b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX19-1		AX19-1b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX19-1		AX19-1b
	This study	mt	0.5	259.3	84.8	0.5	1	10	-1	AX19-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:08:16	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX19-1	pmagpy-4.2.24-1: demag_gui	AX19-1b
	This study	mt	0.5	292.8	34.8	0.5	1	10	0	AX19-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:08:16	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX19-1	pmagpy-4.2.24-1: demag_gui	AX19-1b
	This study	mt	0.5	289.4	47.1	0.5	1	10	100	AX19-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:08:16	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX19-1	pmagpy-4.2.24-1: demag_gui	AX19-1b
	This study	mt	0.1	310.2	80.8	0.7	1	8	-1	AX19-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:09:44	u	Anorthosite	863	828	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX19-2	pmagpy-4.2.24-1: demag_gui	AX19-2b
	This study	mt	0.1	289.1	47	0.7	1	8	100	AX19-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:09:44	u	Anorthosite	863	828	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX19-2	pmagpy-4.2.24-1: demag_gui	AX19-2b
	This study	mt	0.1	292.5	34.7	0.7	1	8	0	AX19-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:09:44	u	Anorthosite	863	828	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX19-2	pmagpy-4.2.24-1: demag_gui	AX19-2b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX19-2		AX19-2b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX19-2		AX19-2b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX19-3		AX19-3b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX19-3		AX19-3b
	This study	mt	0.6	284.2	51.8	0.7	1	10	100	AX19-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:11:17	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX19-3	pmagpy-4.2.24-1: demag_gui	AX19-3b
	This study	mt	0.6	289.2	39.9	0.7	1	10	0	AX19-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:11:17	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX19-3	pmagpy-4.2.24-1: demag_gui	AX19-3b
	This study	mt	0.6	280.9	81.5	0.7	1	10	-1	AX19-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:11:17	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX19-3	pmagpy-4.2.24-1: demag_gui	AX19-3b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX19-4		AX19-4b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX19-4		AX19-4b
	This study	mt	0.8	295.2	49.4	0.6	1	10	100	AX19-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:15:43	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX19-4	pmagpy-4.2.24-1: demag_gui	AX19-4b
	This study	mt	0.8	297.7	36.8	0.6	1	10	0	AX19-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:15:43	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX19-4	pmagpy-4.2.24-1: demag_gui	AX19-4b
	This study	mt	0.8	336.3	83.3	0.6	1	10	-1	AX19-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:15:43	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX19-4	pmagpy-4.2.24-1: demag_gui	AX19-4b
	This study	mt	1.4	356	76.2	0.6	1	9	-1	AX19-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:17:17	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX19-5	pmagpy-4.2.24-1: demag_gui	AX19-5b
	This study	mt	1.4	297	34.2	0.6	1	9	0	AX19-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:17:17	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX19-5	pmagpy-4.2.24-1: demag_gui	AX19-5b
	This study	mt	1.4	294.5	46.8	0.6	1	9	100	AX19-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:17:17	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX19-5	pmagpy-4.2.24-1: demag_gui	AX19-5b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX19-5		AX19-5b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX19-5		AX19-5b
	This study	mt	0.9	340.2	77.9	0.7	1	10	-1	AX19-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:18:47	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX19-6	pmagpy-4.2.24-1: demag_gui	AX19-6b
	This study	mt	0.9	293.2	33.5	0.7	1	10	0	AX19-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:18:47	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX19-6	pmagpy-4.2.24-1: demag_gui	AX19-6b
	This study	mt	0.9	290	45.8	0.7	1	10	100	AX19-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:18:47	u	Anorthosite	883	823	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX19-6	pmagpy-4.2.24-1: demag_gui	AX19-6b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX19-6		AX19-6b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX19-6		AX19-6b
	This study	mt	0.6	341.3	76.7	0.5	1	9	-1	AX19-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:20:21	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX19-7	pmagpy-4.2.24-1: demag_gui	AX19-7b
	This study	mt	0.6	292.9	35.3	0.5	1	9	0	AX19-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:20:21	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX19-7	pmagpy-4.2.24-1: demag_gui	AX19-7b
	This study	mt	0.6	289.5	47.6	0.5	1	9	100	AX19-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:20:21	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX19-7	pmagpy-4.2.24-1: demag_gui	AX19-7b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX19-7		AX19-7b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX19-7		AX19-7b
	This study	mt	1.1	293.1	49.8	0.5	1	9	100	AX19-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:21:57	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX19-8	pmagpy-4.2.24-1: demag_gui	AX19-8b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX19-8		AX19-8b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX19-8		AX19-8b
	This study	mt	1.1	296.1	37.3	0.5	1	9	0	AX19-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:21:57	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX19-8	pmagpy-4.2.24-1: demag_gui	AX19-8b
	This study	mt	1.1	4.6	80.2	0.5	1	9	-1	AX19-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2020-09-03 11:21:57	u	Anorthosite	883	828	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX19-8	pmagpy-4.2.24-1: demag_gui	AX19-8b
	This study	mt	0.3	282.3	45.7	1.2	1	12	100	AX2-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:53:09	u	Anorthosite	858	823	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX2-1	pmagpy-4.2.24-1: demag_gui	AX2-1b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX2-1		AX2-1b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX2-1		AX2-1b
	This study	mt	0.3	113.8	39.4	1.2	1	12	-1	AX2-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:53:09	u	Anorthosite	858	823	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX2-1	pmagpy-4.2.24-1: demag_gui	AX2-1b
	This study	mt	0.3	286.7	34	1.2	1	12	0	AX2-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:53:09	u	Anorthosite	858	823	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX2-1	pmagpy-4.2.24-1: demag_gui	AX2-1b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX2-2		AX2-2b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX2-2		AX2-2b
	This study	mt	0.3	113.5	38.7	3.2	1	12	-1	AX2-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:54:41	u	Anorthosite	858	823	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX2-2	pmagpy-4.2.24-1: demag_gui	AX2-2b
	This study	mt	0.3	287.4	33.6	3.2	1	12	0	AX2-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:54:41	u	Anorthosite	858	823	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX2-2	pmagpy-4.2.24-1: demag_gui	AX2-2b
	This study	mt	0.3	283.2	45.5	3.2	1	12	100	AX2-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:54:41	u	Anorthosite	858	823	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX2-2	pmagpy-4.2.24-1: demag_gui	AX2-2b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX2-3		AX2-3b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX2-3		AX2-3b
	This study	mt	0.3	111	27.3	1.8	1	17	-1	AX2-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:56:11	u	Anorthosite	858	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX2-3	pmagpy-4.2.24-1: demag_gui	AX2-3b
	This study	mt	0.3	282.3	45.3	1.8	1	17	100	AX2-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:56:11	u	Anorthosite	858	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX2-3	pmagpy-4.2.24-1: demag_gui	AX2-3b
	This study	mt	0.3	286.7	33.6	1.8	1	17	0	AX2-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:56:11	u	Anorthosite	858	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX2-3	pmagpy-4.2.24-1: demag_gui	AX2-3b
	This study	mt	3.4	270.9	28.8	2.5	1	13	0	AX2-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:57:38	u	Anorthosite	850	773	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX2-4	pmagpy-4.2.24-1: demag_gui	AX2-4b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX2-4		AX2-4b
	This study	mt	3.4	265.2	38.6	2.5	1	13	100	AX2-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:57:38	u	Anorthosite	850	773	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX2-4	pmagpy-4.2.24-1: demag_gui	AX2-4b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX2-4		AX2-4b
	This study	mt	3.4	189.2	45.6	2.5	1	13	-1	AX2-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:57:38	u	Anorthosite	850	773	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX2-4	pmagpy-4.2.24-1: demag_gui	AX2-4b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX2-5		AX2-5b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX2-5		AX2-5b
	This study	mt	0.9	198	42.3	2.1	1	13	-1	AX2-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:59:03	u	Anorthosite	858	818	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX2-5	pmagpy-4.2.24-1: demag_gui	AX2-5b
	This study	mt	0.9	279.3	33.3	2.1	1	13	0	AX2-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:59:03	u	Anorthosite	858	818	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX2-5	pmagpy-4.2.24-1: demag_gui	AX2-5b
	This study	mt	0.9	273.8	44.2	2.1	1	13	100	AX2-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 16:59:03	u	Anorthosite	858	818	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX2-5	pmagpy-4.2.24-1: demag_gui	AX2-5b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX2-6		AX2-6b
	This study	mt	4.4	197.3	53.2	3.3	1	14	-1	AX2-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 17:00:27	u	Anorthosite	858	813	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX2-6	pmagpy-4.2.24-1: demag_gui	AX2-6b
	This study	mt	4.4	274.2	44.9	3.3	1	14	100	AX2-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 17:00:27	u	Anorthosite	858	813	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX2-6	pmagpy-4.2.24-1: demag_gui	AX2-6b
	This study	mt	4.4	279.8	33.9	3.3	1	14	0	AX2-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 17:00:27	u	Anorthosite	858	813	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX2-6	pmagpy-4.2.24-1: demag_gui	AX2-6b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX2-6		AX2-6b
	This study	mt	8.2	89.8	25.6	3.4	1	9	-1	AX2-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 17:01:53	u	Anorthosite	828	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX2-7	pmagpy-4.2.24-1: demag_gui	AX2-7b
	This study	mt	8.2	281.3	19.6	3.4	1	9	0	AX2-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 17:01:53	u	Anorthosite	828	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX2-7	pmagpy-4.2.24-1: demag_gui	AX2-7b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX2-7		AX2-7b
	This study	mt	8.2	278.3	30.9	3.4	1	9	100	AX2-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 17:01:53	u	Anorthosite	828	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX2-7	pmagpy-4.2.24-1: demag_gui	AX2-7b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX2-7		AX2-7b
	This study	mt	7.2	98.6	33.2	1.8	1	11	-1	AX2-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 17:03:20	u	Anorthosite	833	623	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX2-8	pmagpy-4.2.24-1: demag_gui	AX2-8b
	This study	mt	7.2	287.9	31.4	1.8	1	11	0	AX2-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 17:03:20	u	Anorthosite	833	623	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX2-8	pmagpy-4.2.24-1: demag_gui	AX2-8b
	This study	mt	7.2	284.1	43.3	1.8	1	11	100	AX2-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-01 17:03:20	u	Anorthosite	833	623	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX2-8	pmagpy-4.2.24-1: demag_gui	AX2-8b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX2-8		AX2-8b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX2-8		AX2-8b
