tab 	specimens
analysts	citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX1-6		AX1-6b
	This study	mt	0.5	289.4	51	1.4	1	13	100	AX1-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:50:09	u	Anorthosite	843	723	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX1-6	pmagpy-4.2.24-1: demag_gui	AX1-6b
	This study	mt	0.5	293.3	38.7	1.4	1	13	0	AX1-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:50:09	u	Anorthosite	843	723	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX1-6	pmagpy-4.2.24-1: demag_gui	AX1-6b
	This study	mt	0.5	226.4	25	1.4	1	13	-1	AX1-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:50:09	u	Anorthosite	843	723	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX1-6	pmagpy-4.2.24-1: demag_gui	AX1-6b
	This study	mt	1.1	290.2	57.8	1	1	12	100	AX1-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:51:35	u	Anorthosite	843	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX1-7	pmagpy-4.2.24-1: demag_gui	AX1-7b
	This study	mt	1.1	224.3	12.7	1	1	12	-1	AX1-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:51:35	u	Anorthosite	843	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX1-7	pmagpy-4.2.24-1: demag_gui	AX1-7b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX1-7		AX1-7b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX1-7		AX1-7b
	This study	mt	1.1	294.7	45.4	1	1	12	0	AX1-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:51:35	u	Anorthosite	843	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX1-7	pmagpy-4.2.24-1: demag_gui	AX1-7b
	This study	mt	1.5	225.7	-2.2	2.1	1	14	-1	AX1-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:53:02	u	Anorthosite	843	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX1-8	pmagpy-4.2.24-1: demag_gui	AX1-8b
	This study	mt	1.5	298.7	44	2.1	1	14	0	AX1-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:53:02	u	Anorthosite	843	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX1-8	pmagpy-4.2.24-1: demag_gui	AX1-8b
	This study	mt	1.5	295.6	56.6	2.1	1	14	100	AX1-8b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:53:02	u	Anorthosite	843	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX1-8	pmagpy-4.2.24-1: demag_gui	AX1-8b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX1-8		AX1-8b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX1-8		AX1-8b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX10-1		AX10-1b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX10-1		AX10-1b
	This study	mt	0.6	276.4	37.7	2.3	1	17	100	AX10-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-02 18:20:18	u	Anorthosite	858	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX10-1	pmagpy-4.2.24-1: demag_gui	AX10-1b
	This study	mt	0.6	282.6	28.6	2.3	1	17	0	AX10-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-02 18:20:18	u	Anorthosite	858	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX10-1	pmagpy-4.2.24-1: demag_gui	AX10-1b
	This study	mt	0.6	260.5	28.9	2.3	1	17	-1	AX10-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-02 18:20:18	u	Anorthosite	858	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX10-1	pmagpy-4.2.24-1: demag_gui	AX10-1b
	This study	mt	0.2	275.9	38	2.1	1	16	100	AX10-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-02 18:21:50	u	Anorthosite	858	773	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX10-2	pmagpy-4.2.24-1: demag_gui	AX10-2b
	This study	mt	0.2	259	28.2	2.1	1	16	-1	AX10-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-02 18:21:50	u	Anorthosite	858	773	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX10-2	pmagpy-4.2.24-1: demag_gui	AX10-2b
	This study	mt	0.2	282.2	28.9	2.1	1	16	0	AX10-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-02 18:21:50	u	Anorthosite	858	773	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX10-2	pmagpy-4.2.24-1: demag_gui	AX10-2b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX10-2		AX10-2b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX10-2		AX10-2b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX10-3		AX10-3b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX10-3		AX10-3b
	This study	mt	1.6	265.1	26.7	1.8	1	10	-1	AX10-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-02 18:23:19	u	Anorthosite	858	833	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX10-3	pmagpy-4.2.24-1: demag_gui	AX10-3b
	This study	mt	1.6	288.6	23.9	1.8	1	10	0	AX10-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-02 18:23:19	u	Anorthosite	858	833	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX10-3	pmagpy-4.2.24-1: demag_gui	AX10-3b
	This study	mt	1.6	284	34	1.8	1	10	100	AX10-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-02 18:23:19	u	Anorthosite	858	833	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX10-3	pmagpy-4.2.24-1: demag_gui	AX10-3b
	This study	mt	0.6	123.3	81.8	1.2	1	14	-1	AX11-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 14:56:49	u	Anorthosite	918	828	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX11-1	pmagpy-4.2.24-1: demag_gui	AX11-1b
	This study	mt	0.6	279.7	37.8	1.2	1	14	100	AX11-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 14:56:49	u	Anorthosite	918	828	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX11-1	pmagpy-4.2.24-1: demag_gui	AX11-1b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX11-1		AX11-1b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX11-1		AX11-1b
	This study	mt	0.6	283.4	26.3	1.2	1	14	0	AX11-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 14:56:49	u	Anorthosite	918	828	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX11-1	pmagpy-4.2.24-1: demag_gui	AX11-1b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX11-2		AX11-2b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX11-2		AX11-2b
	This study	mt	2.3	276.1	30	1.4	1	12	100	AX11-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 14:58:22	u	Anorthosite	858	818	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX11-2	pmagpy-4.2.24-1: demag_gui	AX11-2b
