START TIME: 01/09/2020 11:44:23.480 AM,,,,,,,
FINISH TIME: 01/09/2020 12:17:10.290 PM,,,,,,,
#DATA: 1,,,,,,,
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T],,,,,,,
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],Field Status,Moment (m) Status
1,0,0,-0.000502483,1.36E-08,19.26,GOOD,GOOD
1,0,0,-0.001026715,1.36E-08,38.52,GOOD,GOOD
1,0,0,-0.001572048,1.35E-08,57.78,GOOD,GOOD
1,0,0,-0.002148848,1.33E-08,77.04,GOOD,GOOD
1,0,0,-0.002749904,1.32E-08,96.3,GOOD,GOOD
1,0,0,-0.00338066,1.30E-08,115.56,GOOD,GOOD
1,0,0,-0.004039362,1.30E-08,134.82,GOOD,GOOD
1,0,0,-0.004727855,1.29E-08,154.08,GOOD,GOOD
1,0,0,-0.005452129,1.28E-08,173.34,GOOD,GOOD
1,0,0,-0.006210098,1.25E-08,192.6,GOOD,GOOD
1,0,0,-0.00700119,1.24E-08,211.86,GOOD,GOOD
1,0,0,-0.0078323,1.22E-08,231.12,GOOD,GOOD
1,0,0,-0.008701369,1.20E-08,250.38,GOOD,GOOD
1,0,0,-0.009608771,1.18E-08,269.64,GOOD,GOOD
1,0,0,-0.010561163,1.15E-08,288.9,GOOD,GOOD
1,0,0,-0.011559904,1.14E-08,308.16,GOOD,GOOD
1,0,0,-0.012604883,1.09E-08,327.42,GOOD,GOOD
1,0,0,-0.013697343,1.07E-08,346.68,GOOD,GOOD
1,0,0,-0.014845527,1.05E-08,365.94,GOOD,GOOD
1,0,0,-0.016041145,1.01E-08,385.2,GOOD,GOOD
1,0,0,-0.017296363,9.86E-09,404.46,GOOD,GOOD
1,0,0,-0.018612934,9.51E-09,423.72,GOOD,GOOD
1,0,0,-0.019991055,9.07E-09,442.98,GOOD,GOOD
1,0,0,-0.021431857,8.69E-09,462.24,GOOD,GOOD
1,0,0,-0.022941809,8.45E-09,481.5,GOOD,GOOD
1,0,0,-0.024523236,7.94E-09,500.76,GOOD,GOOD
1,0,0,-0.026178031,7.57E-09,520.02,GOOD,GOOD
1,0,0,-0.027905954,7.17E-09,539.28,GOOD,GOOD
