,B$_{anc}$,N,FRAC,GAP-MAX,MAD ($^\circ$),DANG ($^\circ$),inc$_{tc}$,Paleolatitude,$\gamma$,VDM (ZAm$^2$)
AX6,30.33,3,0.69,0.13,3.55,2.66,38.9,21.97,2.63,48.76
AX8,52.4,3,0.66,0.17,4.28,2.15,40.3,22.98,7.3,83.14
AX10,46.82,3,0.7,0.23,4.98,2.14,36.6,20.37,6.1,76.81
AX12,38.1,6,0.75,0.22,3.26,2.53,55.2,35.73,5.98,51.31
AX16,44.15,11,0.68,0.19,4.19,1.96,49.2,30.08,3.97,63.87
AX11,73.34,7,0.68,0.19,3.85,1.82,35.2,19.43,6.63,121.73
AX13,76.63,7,0.73,0.2,5.7,1.67,35.1,19.36,5,127.29
Carlton Peak,43.18,9,0.68,0.17,4.27,2.32,38.6,21.77,5.34,69.57
Kennedy Creek,74.98,14,0.7,0.2,4.78,1.74,35.15,19.4,5.81,124.51
Silver Bay,42.02,17,0.71,0.2,3.86,2.16,51.32,32.07,4.68,59.43
overall site mean,51.68,,,,,,,,,81.84
overall region mean,53.39,,,,,,,,,84.5
