specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,correction,s_tensor,aniso_type,NLT_beta
BD1-11b,BD1-11,BD1,4.03e-06,0.0,-2.2073774761431154e-06,3.0049802966048947e-06,1.5292083229018906e-06,0.0,0.0,0.0,5.168675815552311e-08,0.0,3e-05,ZI,273.0,1,,,
BD1-11b,BD1-11,BD1,4.01e-06,4.473362369168059e-07,-2.209992572302565e-06,2.9866335499032615e-06,1.508659295188856e-06,3.006323332278713e-07,-2.799428688342116e-07,-1.770929113932183e-07,3.428683212632716e-08,4.59058091104432e-08,3e-05,ZI,373.0,1,,,
BD1-11b,BD1-11,BD1,3.24e-06,2.068737091233457e-08,-1.732619041501713e-06,2.4744364305641034e-06,1.171663607065979e-06,-6.347161290694853e-09,1.831316266895443e-08,7.232491401641982e-09,2.770307633149626e-08,3.9299172255338435e-08,3e-05,IZ,473.0,1,,,
BD1-11b,BD1-11,BD1,3.15e-06,5.105442391686589e-07,-1.6059075599232921e-06,2.4540839837393733e-06,1.1493618706635018e-06,-1.5444931150168194e-07,-4.6436249397438774e-07,-1.454933143304115e-07,2.6933546433399144e-08,3.6263994073015045e-08,3e-05,ZI,573.0,1,,,
BD1-11b,BD1-11,BD1,2.53e-06,1.964833222003089e-07,-1.4110695508067385e-06,1.9000067619839864e-06,8.942913547615206e-07,3.6145312017395076e-08,1.931153495777046e-07,2.3820326438777177e-09,2.1632340468730107e-08,3.1388571134432655e-08,3e-05,IZ,673.0,1,,,
BD1-11b,BD1-11,BD1,2.38e-06,7.667184804644898e-08,-1.2640449979788107e-06,1.8255128103325056e-06,8.567924033257218e-07,3.530961359419209e-08,3.038346371137641e-09,-6.798949861570978e-08,2.0349790638568242e-08,2.8538134724290303e-08,3e-05,ZI,698.0,1,,,
BD1-11b,BD1-11,BD1,1.89e-06,2.6853572598992534e-07,-9.928038363149105e-07,1.449953433598613e-06,6.957554045740413e-07,-1.4494379323399687e-07,2.2419136396269574e-07,2.8999401035585236e-08,1.6160127860039487e-08,2.4476362024700463e-08,3e-05,IZ,723.0,1,,,
BD1-11b,BD1-11,BD1,1.47e-06,4.3681265477207503e-07,-7.558220560022205e-07,1.1247818792629269e-06,5.696479120845913e-07,-2.2966366179920338e-07,3.69785661203778e-07,3.631064012233679e-08,1.2568988335586266e-08,2.0472645169418825e-08,3e-05,ZI,748.0,1,,,
BD1-11b,BD1-11,BD1,2.08e-07,1.578823280610438e-06,-2.383256039520095e-08,1.5394897434393398e-07,1.378249700288734e-07,-9.013183450755442e-07,1.243801573045961e-06,3.6505593970812256e-07,1.7784690978244516e-09,1.5068402565472802e-08,3e-05,IZ,773.0,1,,,
BD1-11b,BD1-11,BD1,1.63e-06,2.583095195550957e-06,1.0181194349525758e-06,-1.1507746819726964e-06,-5.441051805510466e-07,-1.6320265017065251e-06,1.9714011955443746e-06,-3.4992515372892363e-07,1.3937041487758922e-08,1.815108857739702e-08,3e-05,ZI,793.0,1,,,
