tab	samples
sample	site	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
AX1-4	AX1	0	47.20047	268.62063	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	7.8	0.0	0	90.0	-77	This study	SO-CMD-NORTH	g	i
AX1-5	AX1	0	47.20047	268.62063	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	7.5	0.0	0	90.0	-81	This study	SO-CMD-NORTH	g	i
AX1-7	AX1	0	47.20047	268.62063	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	10.7	0.0	0	90.0	-86	This study	SO-CMD-NORTH	g	i
AX3-7	AX3	0	47.5845	269.1442	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	341.7	0.0	0	90.0	-81	This study	SO-CMD-NORTH	g	i
AX3-8	AX3	0	47.5845	269.1442	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	344.7	0.0	0	90.0	-65	This study	SO-CMD-NORTH	g	i
AX3-9	AX3	0	47.5845	269.1442	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	330.7	0.0	0	90.0	-67	This study	SO-CMD-NORTH	g	i
AX6-1	AX6	0	47.582679	269.14384	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	57.0	0.0	0	90.0	-44	This study	SO-CMD-NORTH	g	i
AX6-2	AX6	0	47.582679	269.14384	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	75.3	0.0	0	90.0	-47	This study	SO-CMD-NORTH	g	i
AX6-3	AX6	0	47.582679	269.14384	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	78.4	0.0	0	90.0	-64	This study	SO-CMD-NORTH	g	i
AX8-1	AX8	0	47.582679	269.14384	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	11.9	0.0	0	90.0	-19	This study	SO-CMD-NORTH	g	i
AX8-2	AX8	0	47.582679	269.14384	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	0.1	0.0	0	90.0	-17	This study	SO-CMD-NORTH	g	i
AX8-3	AX8	0	47.582679	269.14384	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	2.1	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
AX10-2	AX10	0	47.582679	269.14384	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	3.4	0.0	0	90.0	-35	This study	SO-CMD-NORTH	g	i
AX10-3	AX10	0	47.582679	269.14384	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	5.4	0.0	0	90.0	-37	This study	SO-CMD-NORTH	g	i
AX11-4	AX11	0	47.36999	268.83351	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	291.5	0.0	0	90.0	-89	This study	SO-CMD-NORTH	g	i
AX11-5	AX11	0	47.36999	268.83351	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	289.5	0.0	0	90.0	-81	This study	SO-CMD-NORTH	g	i
AX11-6	AX11	0	47.36999	268.83351	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	286.4	0.0	0	90.0	-83	This study	SO-CMD-NORTH	g	i
AX11-9	AX11	0	47.36999	268.83351	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	281.2	0.0	0	90.0	-81	This study	SO-CMD-NORTH	g	i
AX12-5	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	316.1	0.0	0	90.0	-94	This study	SO-CMD-NORTH	g	i
AX12-6	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	306.1	0.0	0	90.0	-66	This study	SO-CMD-NORTH	g	i
AX12-7	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	331.1	0.0	0	90.0	-92	This study	SO-CMD-NORTH	g	i
AX12-8	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	314.3	0.0	0	90.0	-61	This study	SO-CMD-NORTH	g	i
AX12-9	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	312.3	0.0	0	90.0	-67	This study	SO-CMD-NORTH	g	i
AX12-10	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	344.3	0.0	0	90.0	-67	This study	SO-CMD-NORTH	g	i
AX12-11	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	349.3	0.0	0	90.0	-64	This study	SO-CMD-NORTH	g	i
AX12-12	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	282.3	0.0	0	90.0	-46	This study	SO-CMD-NORTH	g	i
AX12-13	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	302.3	0.0	0	90.0	-51	This study	SO-CMD-NORTH	g	i
AX12-14	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	288.3	0.0	0	90.0	-45	This study	SO-CMD-NORTH	g	i
AX12-15	AX12	0	47.29207	268.73990000000003	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	332.3	0.0	0	90.0	-67	This study	SO-CMD-NORTH	g	i
AX13-6	AX13	0	47.36889	268.83304	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	151.0	0.0	0	90.0	-92	This study	SO-CMD-NORTH	g	i
AX13-7	AX13	0	47.36889	268.83304	Igneous:Intrusive	Sill:Diabase	Anorthosite	Yiming Zhang	153.0	0.0	0	90.0	-98	This study	SO-CMD-NORTH	g	i
