tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
BD1-4b	BD1-4	Yiming Zhang	This study	LP-NOMAG		
BD1-5b	BD1-5	Yiming Zhang	This study	LP-NOMAG		
BD1-6b	BD1-6	Yiming Zhang	This study	LP-NOMAG		
BD1-7b	BD1-7	Yiming Zhang	This study	LP-NOMAG		
BD1-11b	BD1-11	Yiming Zhang	This study	LP-NOMAG		
BD1-12b	BD1-12	Yiming Zhang	This study	LP-NOMAG		
BD1-13b	BD1-13	Yiming Zhang	This study	LP-NOMAG		
BD2-5b	BD2-5	Yiming Zhang	This study	LP-NOMAG		
BD2-6b	BD2-6	Yiming Zhang	This study	LP-NOMAG		
BD2-7b	BD2-7	Yiming Zhang	This study	LP-NOMAG		
BD2-8b	BD2-8	Yiming Zhang	This study	LP-NOMAG		
BD2-9a	BD2-9	Yiming Zhang	This study	LP-NOMAG		
BD2-10a	BD2-10	Yiming Zhang	This study	LP-NOMAG		
BD2-11a	BD2-11	Yiming Zhang	This study	LP-NOMAG		
BD2-12a	BD2-12	Yiming Zhang	This study	LP-NOMAG		
BD2-13a	BD2-13	Yiming Zhang	This study	LP-NOMAG		
BD2-14a	BD2-14	Yiming Zhang	This study	LP-NOMAG		
BD2-15a	BD2-15	Yiming Zhang	This study	LP-NOMAG		
BD2-16a	BD2-16	Yiming Zhang	This study	LP-NOMAG		
BD2-18a	BD2-18	Yiming Zhang	This study	LP-NOMAG		
BD5-5b	BD5-5	Yiming Zhang	This study	LP-NOMAG		
BD5-6b	BD5-6	Yiming Zhang	This study	LP-NOMAG		
BD5-7b	BD5-7	Yiming Zhang	This study	LP-NOMAG		
BD5-8b	BD5-8	Yiming Zhang	This study	LP-NOMAG		
BD6-5b	BD6-5	Yiming Zhang	This study	LP-NOMAG		
BD6-6b	BD6-6	Yiming Zhang	This study	LP-NOMAG		
BD6-7b	BD6-7	Yiming Zhang	This study	LP-NOMAG		
BD6-8b	BD6-8	Yiming Zhang	This study	LP-NOMAG		
BD6-9b	BD6-9	Yiming Zhang	This study	LP-NOMAG		
BD7-5b	BD7-5	Yiming Zhang	This study	LP-NOMAG		
BD7-6b	BD7-6	Yiming Zhang	This study	LP-NOMAG		
BD7-7b	BD7-7	Yiming Zhang	This study	LP-NOMAG		
BD8-1b	BD8-1	Yiming Zhang	This study	LP-NOMAG		
BD8-2b	BD8-2	Yiming Zhang	This study	LP-NOMAG		
BD8-4b	BD8-4	Yiming Zhang	This study	LP-NOMAG		
BD8-5b	BD8-5	Yiming Zhang	This study	LP-NOMAG		
BD8-6b	BD8-6	Yiming Zhang	This study	LP-NOMAG		
BD8-7b	BD8-7	Yiming Zhang	This study	LP-NOMAG		
BD8-9b	BD8-9	Yiming Zhang	This study	LP-NOMAG		
BD9-1b	BD9-1	Yiming Zhang	This study	LP-NOMAG		
BD9-2b	BD9-2	Yiming Zhang	This study	LP-NOMAG		
BD9-4b	BD9-4	Yiming Zhang	This study	LP-NOMAG		
BD9-5b	BD9-5	Yiming Zhang	This study	LP-NOMAG		
BD9-6b	BD9-6	Yiming Zhang	This study	LP-NOMAG		
BD9-7b	BD9-7	Yiming Zhang	This study	LP-NOMAG		
BD9-8b	BD9-8	Yiming Zhang	This study	LP-NOMAG		
