tab	criteria
criterion	table_column	criterion_operation	criterion_value	citations	description
IE-SITE	sites.int_n_specimens	>=	2	This study	acceptance criteria for study
IE-SPEC	specimens.int_b_beta	<=	0.15	This study	acceptance criteria for study
IE-SPEC	specimens.int_frac	>=	0.6	This study	acceptance criteria for study
IE-SPEC	specimens.int_gmax	<=	0.25	This study	acceptance criteria for study
IE-SPEC	specimens.int_dang	<=	5	This study	acceptance criteria for study
IE-SPEC	specimens.int_mad_free	<=	10	This study	acceptance criteria for study
IE-SPEC	specimens.int_n_measurements	>=	4	This study	acceptance criteria for study
IE-SPEC	specimens.int_n_ptrm	>=	2	This study	acceptance criteria for study
IE-SPEC	specimens.int_scat	=	True	This study	acceptance criteria for study
