tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
AX1-1a	AX1-1	Yiming Zhang	This study	LP-NOMAG		
AX1-2a	AX1-2	Yiming Zhang	This study	LP-NOMAG		
AX1-3a	AX1-3	Yiming Zhang	This study	LP-NOMAG		
AX3-3a	AX3-3	Yiming Zhang	This study	LP-NOMAG		
AX3-4a	AX3-4	Yiming Zhang	This study	LP-NOMAG		
AX3-6a	AX3-6	Yiming Zhang	This study	LP-NOMAG		
AX5-2a	AX5-2	Yiming Zhang	This study	LP-NOMAG		
AX5-3a	AX5-3	Yiming Zhang	This study	LP-NOMAG		
AX7-1a	AX7-1	Yiming Zhang	This study	LP-NOMAG		
AX7-2a	AX7-2	Yiming Zhang	This study	LP-NOMAG		
AX7-3a	AX7-3	Yiming Zhang	This study	LP-NOMAG		
AX9-1a	AX9-1	Yiming Zhang	This study	LP-NOMAG		
AX10-1a	AX10-1	Yiming Zhang	This study	LP-NOMAG		
AX11-1a	AX11-1	Yiming Zhang	This study	LP-NOMAG		
AX11-2a	AX11-2	Yiming Zhang	This study	LP-NOMAG		
AX11-3a	AX11-3	Yiming Zhang	This study	LP-NOMAG		
AX12-1a	AX12-1	Yiming Zhang	This study	LP-NOMAG		
AX12-2a	AX12-2	Yiming Zhang	This study	LP-NOMAG		
AX12-4a	AX12-4	Yiming Zhang	This study	LP-NOMAG		
AX13-2a	AX13-2	Yiming Zhang	This study	LP-NOMAG		
AX13-3a	AX13-3	Yiming Zhang	This study	LP-NOMAG		
AX13-4a	AX13-4	Yiming Zhang	This study	LP-NOMAG		
AX15-1a	AX15-1	Yiming Zhang	This study	LP-NOMAG		
AX15-2a	AX15-2	Yiming Zhang	This study	LP-NOMAG		
AX15-3a	AX15-3	Yiming Zhang	This study	LP-NOMAG		
AX16-1a	AX16-1	Yiming Zhang	This study	LP-NOMAG		
AX16-2a	AX16-2	Yiming Zhang	This study	LP-NOMAG		
AX16-4a	AX16-4	Yiming Zhang	This study	LP-NOMAG		
