tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
BD1-1b	BD1-1	Yiming Zhang	This study	LP-NOMAG		
BD1-2b	BD1-2	Yiming Zhang	This study	LP-NOMAG		
BD1-3b	BD1-3	Yiming Zhang	This study	LP-NOMAG		
BD1-8b	BD1-8	Yiming Zhang	This study	LP-NOMAG		
BD1-9b	BD1-9	Yiming Zhang	This study	LP-NOMAG		
BD1-10b	BD1-10	Yiming Zhang	This study	LP-NOMAG		
BD1-14b	BD1-14	Yiming Zhang	This study	LP-NOMAG		
BD1-15b	BD1-15	Yiming Zhang	This study	LP-NOMAG		
BD2-1b	BD2-1	Yiming Zhang	This study	LP-NOMAG		
BD2-2b	BD2-2	Yiming Zhang	This study	LP-NOMAG		
BD2-3b	BD2-3	Yiming Zhang	This study	LP-NOMAG		
BD2-4b	BD2-4	Yiming Zhang	This study	LP-NOMAG		
BD5-1b	BD5-1	Yiming Zhang	This study	LP-NOMAG		
BD5-2b	BD5-2	Yiming Zhang	This study	LP-NOMAG		
BD5-3b	BD5-3	Yiming Zhang	This study	LP-NOMAG		
BD5-4b	BD5-4	Yiming Zhang	This study	LP-NOMAG		
BD6-1b	BD6-1	Yiming Zhang	This study	LP-NOMAG		
BD6-2b	BD6-2	Yiming Zhang	This study	LP-NOMAG		
BD6-3b	BD6-3	Yiming Zhang	This study	LP-NOMAG		
BD6-4b	BD6-4	Yiming Zhang	This study	LP-NOMAG		
BD7-2b	BD7-2	Yiming Zhang	This study	LP-NOMAG		
BD7-3b	BD7-3	Yiming Zhang	This study	LP-NOMAG		
BD7-4b	BD7-4	Yiming Zhang	This study	LP-NOMAG		
