tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_gmax	specimen_int_mad	specimen_int_dang	specimen_scat
AX10	AX10-1a	45.84	425	585	30	1.00	-	-	17.00	0.78	10.00	0.06	0.24	5.60	2.62	t
AX10	AX10-2a	46.61	450	585	30	1.00	-	-	16.00	0.62	10.00	0.04	0.20	5.32	2.24	t
AX10	AX10-3a	48.01	425	585	30	1.00	-	-	17.00	0.69	10.00	0.04	0.24	4.02	1.56	t
AX11	AX11-1a	73.29	425	560	30	1.00	-	-	10.00	0.67	6.00	0.08	0.21	5.28	2.54	t
AX11	AX11-2a	73.29	400	560	30	1.00	-	-	11.00	0.65	6.00	0.07	0.21	3.94	1.51	t
AX11	AX11-3a	73.41	400	560	30	1.00	-	-	11.00	0.66	6.00	0.08	0.21	3.95	2.11	t
AX11	AX11-4a	73.31	500	570	30	1.00	-	-	11.00	0.66	8.00	0.09	0.20	1.53	3.27	t
AX11	AX11-5a	73.44	400	566	30	1.00	-	-	14.00	0.73	8.00	0.05	0.18	2.93	0.85	t
AX11	AX11-6a	73.32	200	562	30	1.00	-	-	14.00	0.69	7.00	0.07	0.17	4.00	1.33	t
AX11	AX11-9a	73.34	100	562	30	1.00	-	-	15.00	0.67	7.00	0.06	0.17	5.34	1.13	t
AX12	AX12-14a	30.34	475	585	30	1.00	-	-	16.00	0.75	10.00	0.06	0.17	1.74	0.55	t
AX12	AX12-1a	33.89	0	580	30	1.00	-	-	21.00	0.97	9.00	0.03	0.17	5.47	4.73	t
AX12	AX12-2a	46.94	425	570	30	1.00	-	-	14.00	0.70	8.00	0.05	0.24	3.39	2.38	t
AX12	AX12-4a	41.89	500	585	30	1.00	-	-	14.00	0.66	10.00	0.05	0.24	3.85	3.19	t
AX12	AX12-6a	37.18	425	564	30	1.00	-	-	12.00	0.69	7.00	0.08	0.22	3.64	2.05	t
AX12	AX12-8a	38.34	475	565	30	1.00	-	-	12.00	0.75	8.00	0.06	0.25	1.46	2.29	t
AX13	AX13-2a	76.86	200	555	30	1.00	-	-	12.00	0.71	6.00	0.05	0.20	8.08	2.23	t
AX13	AX13-3a	71.68	100	550	30	1.00	-	-	12.00	0.71	5.00	0.08	0.22	5.92	1.88	t
AX13	AX13-4a	76.13	200	550	30	1.00	-	-	11.00	0.65	5.00	0.04	0.18	8.82	1.07	t
AX13	AX13-6a	76.80	200	555	30	1.00	-	-	12.00	0.70	6.00	0.06	0.22	3.82	1.53	t
AX13	AX13-7a	72.60	475	585	30	1.00	-	-	15.00	0.61	10.00	0.03	0.20	3.62	2.09	t
AX13	AX13-8a	84.83	450	570	30	1.00	-	-	13.00	0.81	8.00	0.02	0.24	3.69	1.82	t
AX13	AX13-9a	77.48	0	564	30	1.00	-	-	17.00	0.94	7.00	0.03	0.16	5.96	1.07	t
AX16	AX16-10a	53.27	510	585	30	1.00	-	-	14.00	0.62	10.00	0.04	0.20	2.75	1.10	t
AX16	AX16-11a	44.17	450	570	30	1.00	-	-	14.00	0.70	8.00	0.06	0.15	2.86	2.07	t
AX16	AX16-13a	41.68	400	570	30	1.00	-	-	15.00	0.72	8.00	0.07	0.20	3.47	1.85	t
AX16	AX16-14a	43.64	400	565	30	1.00	-	-	14.00	0.63	8.00	0.08	0.14	3.84	2.12	t
AX16	AX16-15a	31.91	475	570	30	1.00	-	-	13.00	0.61	8.00	0.07	0.17	3.07	1.41	t
AX16	AX16-16a	43.30	400	562	30	1.00	-	-	13.00	0.65	7.00	0.09	0.18	5.14	2.94	t
AX16	AX16-1a	44.90	200	564	30	1.00	-	-	15.00	0.87	7.00	0.06	0.22	5.56	2.40	t
AX16	AX16-2a	45.05	425	564	30	1.00	-	-	12.00	0.65	7.00	0.07	0.22	4.25	1.44	t
AX16	AX16-4a	44.82	425	575	30	1.00	-	-	15.00	0.76	9.00	0.05	0.21	4.77	1.08	t
AX16	AX16-5a	44.91	425	560	30	1.00	-	-	10.00	0.65	6.00	0.10	0.24	7.42	3.90	t
AX16	AX16-9a	48.04	500	585	30	1.00	-	-	15.00	0.61	10.00	0.04	0.17	2.98	1.23	t
AX6	AX6-1a	47.36	475	585	30	1.00	-	-	15.00	0.60	10.00	0.02	0.16	2.92	1.67	t
AX6	AX6-2a	18.25	400	585	30	1.00	-	-	18.00	0.70	10.00	0.04	0.12	3.44	3.43	t
AX6	AX6-3a	25.39	400	585	30	1.00	-	-	18.00	0.76	10.00	0.04	0.10	4.28	2.88	t
AX8	AX8-1a	65.38	425	566	30	1.00	-	-	13.00	0.60	8.00	0.07	0.20	5.28	2.95	t
AX8	AX8-2a	50.51	400	580	30	1.00	-	-	17.00	0.63	9.00	0.04	0.16	3.19	1.29	t
AX8	AX8-3a	41.30	400	580	30	1.00	-	-	17.00	0.75	9.00	0.03	0.14	4.38	2.22	t
