tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_mad	specimen_int_dang	specimen_scat
AX10-1a	0	570	30	1.00	-1.00	-	41.8	1.900e+01	9.083e-01	8.000e+00	5.301e-02	5.652e+00	4.401e+00	t
AX10-1a	0	575	30	1.00	-1.00	-	42.8	2.000e+01	9.299e-01	9.000e+00	4.765e-02	5.284e+00	3.597e+00	t
AX10-1a	0	580	30	1.00	-1.00	-	43.9	2.100e+01	9.647e-01	9.000e+00	4.457e-02	4.908e+00	3.144e+00	t
AX10-1a	0	585	30	1.00	-1.00	-	44.2	2.200e+01	9.752e-01	1.000e+01	4.051e-02	4.655e+00	2.741e+00	t
AX10-1a	100	570	30	1.00	-1.00	-	41.9	1.800e+01	8.779e-01	8.000e+00	5.810e-02	5.716e+00	4.817e+00	t
AX10-1a	100	575	30	1.00	-1.00	-	42.9	1.900e+01	8.994e-01	9.000e+00	5.187e-02	5.374e+00	3.896e+00	t
AX10-1a	100	580	30	1.00	-1.00	-	44.0	2.000e+01	9.343e-01	9.000e+00	4.826e-02	5.003e+00	3.371e+00	t
AX10-1a	100	585	30	1.00	-1.00	-	44.4	2.100e+01	9.448e-01	1.000e+01	4.369e-02	4.749e+00	2.931e+00	t
AX10-1a	200	570	30	1.00	-1.00	-	41.5	1.700e+01	8.528e-01	8.000e+00	6.436e-02	6.145e+00	4.850e+00	t
AX10-1a	200	575	30	1.00	-1.00	-	42.7	1.800e+01	8.744e-01	9.000e+00	5.713e-02	5.712e+00	3.863e+00	t
AX10-1a	200	580	30	1.00	-1.00	-	44.0	1.900e+01	9.092e-01	9.000e+00	5.292e-02	5.275e+00	3.322e+00	t
AX10-1a	200	585	30	1.00	-1.00	-	44.3	2.000e+01	9.197e-01	1.000e+01	4.772e-02	4.979e+00	2.874e+00	t
AX10-1a	300	570	30	1.00	-1.00	-	40.8	1.600e+01	8.124e-01	8.000e+00	7.142e-02	6.564e+00	4.979e+00	t
AX10-1a	300	575	30	1.00	-1.00	-	42.2	1.700e+01	8.339e-01	9.000e+00	6.311e-02	6.040e+00	3.886e+00	t
AX10-1a	300	580	30	1.00	-1.00	-	43.7	1.800e+01	8.688e-01	9.000e+00	5.831e-02	5.539e+00	3.301e+00	t
AX10-1a	300	585	30	1.00	-1.00	-	44.1	1.900e+01	8.793e-01	1.000e+01	5.235e-02	5.198e+00	2.841e+00	t
AX10-1a	400	570	30	1.00	-1.00	-	40.8	1.500e+01	7.320e-01	8.000e+00	8.148e-02	7.012e+00	4.870e+00	t
AX10-1a	400	575	30	1.00	-1.00	-	42.3	1.600e+01	7.536e-01	9.000e+00	7.110e-02	6.346e+00	3.714e+00	t
AX10-1a	400	580	30	1.00	-1.00	-	43.9	1.700e+01	7.884e-01	9.000e+00	6.505e-02	5.763e+00	3.120e+00	t
AX10-1a	400	585	30	1.00	-1.00	-	44.3	1.800e+01	7.989e-01	1.000e+01	5.802e-02	5.367e+00	2.673e+00	t
AX10-1a	425	570	30	1.00	-1.00	-	42.5	1.400e+01	7.175e-01	8.000e+00	8.832e-02	7.472e+00	4.896e+00	t
AX10-1a	425	575	30	1.00	-1.00	-	44.0	1.500e+01	7.391e-01	9.000e+00	7.550e-02	6.695e+00	3.675e+00	t
AX10-1a	425	580	30	1.00	-1.00	-	45.5	1.600e+01	7.739e-01	9.000e+00	6.808e-02	6.042e+00	3.068e+00	t
AX10-1a	425	585	30	1.00	-1.00	-	45.8	1.700e+01	7.844e-01	1.000e+01	6.020e-02	5.604e+00	2.623e+00	t
AX10-1a	450	575	30	1.00	-1.00	-	46.1	1.400e+01	6.848e-01	9.000e+00	8.056e-02	7.066e+00	3.751e+00	t
AX10-1a	450	580	30	1.00	-1.00	-	47.7	1.500e+01	7.197e-01	9.000e+00	7.124e-02	6.346e+00	3.081e+00	t
AX10-1a	450	585	30	1.00	-1.00	-	47.7	1.600e+01	7.301e-01	1.000e+01	6.239e-02	5.860e+00	2.626e+00	t
AX10-1a	475	570	30	1.00	-1.00	-	51.9	1.200e+01	6.351e-01	8.000e+00	7.339e-02	8.422e+00	4.866e+00	t
AX10-1a	475	575	30	1.00	-1.00	-	51.9	1.300e+01	6.567e-01	9.000e+00	5.848e-02	7.364e+00	3.500e+00	t
AX10-1a	475	580	30	1.00	-1.00	-	52.9	1.400e+01	6.915e-01	9.000e+00	5.030e-02	6.549e+00	2.891e+00	t
AX10-1a	475	585	30	1.00	-1.00	-	52.2	1.500e+01	7.020e-01	1.000e+01	4.409e-02	6.020e+00	2.456e+00	t
AX10-1a	500	575	30	1.00	-1.00	-	53.4	1.200e+01	6.046e-01	9.000e+00	6.450e-02	6.309e+00	2.351e+00	t
AX10-1a	500	580	30	1.00	-1.00	-	54.2	1.300e+01	6.394e-01	9.000e+00	5.445e-02	5.518e+00	2.063e+00	t
AX10-1a	500	585	30	1.00	-1.00	-	53.3	1.400e+01	6.499e-01	1.000e+01	4.775e-02	5.040e+00	1.748e+00	t
AX10-1a	520	580	30	1.00	-1.00	-	55.6	1.200e+01	6.142e-01	9.000e+00	5.901e-02	5.121e+00	1.671e+00	t
AX10-1a	520	585	30	1.00	-1.00	-	54.4	1.300e+01	6.247e-01	1.000e+01	5.191e-02	4.662e+00	1.396e+00	t
AX10-2a	0	550	30	1.00	-1.00	-	82.4	1.300e+01	6.446e-01	5.000e+00	9.349e-02	9.538e+00	4.681e+00	t
AX10-2a	0	555	30	1.00	-1.00	-	78.7	1.400e+01	6.694e-01	6.000e+00	8.458e-02	9.177e+00	3.956e+00	t
AX10-2a	0	560	30	1.00	-1.00	-	77.9	1.500e+01	7.320e-01	6.000e+00	7.324e-02	8.386e+00	3.751e+00	t
AX10-2a	100	550	30	1.00	-1.00	-	85.7	1.200e+01	6.220e-01	5.000e+00	1.075e-01	9.644e+00	4.431e+00	t
AX10-2a	100	555	30	1.00	-1.00	-	80.7	1.300e+01	6.468e-01	6.000e+00	9.721e-02	9.192e+00	4.126e+00	t
AX10-2a	100	560	30	1.00	-1.00	-	79.5	1.400e+01	7.094e-01	6.000e+00	8.338e-02	8.313e+00	4.072e+00	t
AX10-2a	100	562	30	1.00	-1.00	-	70.2	1.500e+01	7.165e-01	7.000e+00	9.279e-02	7.720e+00	3.934e+00	t
AX10-2a	100	564	30	1.00	-1.00	-	68.0	1.600e+01	7.831e-01	7.000e+00	8.165e-02	7.076e+00	3.609e+00	t
