[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1578671432.553000 1/10/2020, 9:50:32 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, AX21-7-sc
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: FC-ZFC LTSIRM and RTSIRM LTD (settle 5 scans).seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1578671432.553,,2.500000e+004,2.999816e+002,1.894494e-003,0.000000e+000,3,9.832224e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1578671748.624,,2.500000e+004,2.943732e+002,1.911400e-003,0.000000e+000,3,9.182499e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.494934e-001,0.000000e+000,0,,0,
1578671806.464,,2.500000e+004,2.891970e+002,2.036260e-003,0.000000e+000,3,9.820914e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.234192e+000,0.000000e+000,0,,0,
1578671854.904,,2.500000e+004,2.841187e+002,2.103745e-003,0.000000e+000,3,9.820167e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.323395e+000,0.000000e+000,0,,0,
1578671901.904,,2.500000e+004,2.792929e+002,2.171312e-003,0.000000e+000,3,9.808818e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.315796e+000,0.000000e+000,0,,0,
1578671952.694,,2.500000e+004,2.741310e+002,2.241419e-003,0.000000e+000,3,9.807087e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.340088e+000,0.000000e+000,0,,0,
1578672003.974,,2.500000e+004,2.693609e+002,2.309167e-003,0.000000e+000,3,9.807472e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.208191e+000,0.000000e+000,0,,0,
1578672061.024,,2.500000e+004,2.643234e+002,2.384992e-003,0.000000e+000,3,9.801154e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.149994e+000,0.000000e+000,0,,0,
1578672123.914,,2.500000e+004,2.593643e+002,2.509438e-003,0.000000e+000,3,9.834079e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.217712e+000,0.000000e+000,0,,0,
1578672190.514,,2.500000e+004,2.543883e+002,2.534190e-003,0.000000e+000,3,9.796199e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.807892e-001,0.000000e+000,0,,0,
