specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,correction,s_tensor,aniso_type,NLT_beta
AX1-1a,AX1-1,AX1,2.38e-06,0.0,-1.8166134335390683e-06,-1.0445990547354148e-06,1.1283299375321367e-06,0.0,0.0,0.0,2.0349790638568242e-08,0.0,3e-05,ZI,273.0,1,,,
AX1-1a,AX1-1,AX1,2.27e-06,5.8463162660318236e-08,-1.7694350211832474e-06,-9.647272914175822e-07,1.0446535114593432e-06,-1.5232166671964654e-08,5.146695150442646e-08,-2.3174887045362963e-08,1.940925409644954e-08,2.7328177941849586e-08,3e-05,ZI,373.0,1,,,
AX1-1a,AX1-1,AX1,2.1e-06,7.93156828110684e-08,-1.578465272833104e-06,-1.0289885659530964e-06,9.271622908626648e-07,8.695716201391575e-09,-3.382532468834635e-08,-7.12124249640385e-08,1.7955697622266096e-08,2.5272560422203053e-08,3e-05,IZ,473.0,1,,,
AX1-1a,AX1-1,AX1,1.99e-06,1.8906720699296975e-07,-1.4460692528706366e-06,-1.0314711737716268e-06,8.972463059719672e-07,1.266296094338998e-08,5.253061487047839e-09,-1.8856951907793037e-07,1.7015161080147395e-08,2.3525225590556343e-08,3e-05,ZI,573.0,1,,,
AX1-1a,AX1-1,AX1,1.65e-06,2.4525834638792685e-07,-1.2822851567606993e-06,-8.263763923670182e-07,6.287661209779522e-07,6.563907840914277e-11,-6.478938767810265e-08,-2.36545952002456e-07,1.4108048131780504e-08,1.971143671596837e-08,3e-05,IZ,673.0,1,,,
AX1-1a,AX1-1,AX1,1.57e-06,3.6238693883162744e-07,-1.2402214635814566e-06,-7.334649289323126e-07,6.235221882966055e-07,3.040425680466556e-08,-2.1154625811520748e-09,-3.6110303158791314e-07,1.3424021555694177e-08,1.8215418697588984e-08,3e-05,ZI,698.0,1,,,
AX1-1a,AX1-1,AX1,1.43e-06,3.511763661163348e-07,-1.1122698458959492e-06,-7.644418859110368e-07,4.7263558157990897e-07,-1.0962501030005277e-08,-1.0424207758023049e-08,-3.508503948728841e-07,1.2226975047543104e-08,1.693268033303302e-08,3e-05,IZ,723.0,1,,,
AX1-1a,AX1-1,AX1,1.34e-06,5.903175330540196e-07,-1.070144441214039e-06,-6.430076513967701e-07,4.867566488337911e-07,4.140939515198552e-08,-4.82138144412839e-09,-5.88843617699216e-07,1.1457445149445986e-08,1.5494749613307477e-08,3e-05,ZI,748.0,1,,,
AX1-1a,AX1-1,AX1,9.73e-07,7.691345899904913e-07,-7.944198509280891e-07,-5.480335464932834e-07,1.2363386416911404e-07,-3.673094727430127e-08,-7.374669106428088e-08,-7.647092784772807e-07,8.319473231649959e-09,1.3342707786602728e-08,3e-05,IZ,773.0,1,,,
AX1-1a,AX1-1,AX1,7.1e-07,1.6711179301349872e-06,-5.316220081039688e-07,-4.413610946774381e-07,1.6333531340355413e-07,1.7527726570164673e-08,1.2384999505481002e-07,-1.6664300447198043e-06,6.070735862766156e-09,1.5123456730280026e-08,3e-05,ZI,793.0,1,,,
AX1-1a,AX1-1,AX1,4.92e-07,1.9846380333671903e-06,-2.883757590693415e-07,-2.0721900420408744e-07,-3.4053444154424017e-07,-9.251788659445613e-08,3.5238928742065043e-08,-1.9821671932631708e-06,4.206763442930914e-09,2.061262191385056e-08,3e-05,IZ,803.0,1,,,
AX1-1a,AX1-1,AX1,2.42e-07,3.024046177854203e-06,-1.8714226988440467e-07,-1.2575438651415982e-07,-8.790679777446076e-08,-2.381419595362891e-08,3.794168513406237e-08,-3.0237143711658487e-06,2.069180392661141e-09,2.675716319378028e-08,3e-05,ZI,813.0,1,,,
AX1-1a,AX1-1,AX1,1.97e-07,3.4455567012666613e-06,-9.510880886994928e-08,-6.152864781497886e-08,-1.611754943327296e-07,-5.5521515637213006e-08,-2.720630292002545e-09,-3.445108262611751e-06,1.6844154436125815e-09,3.091262489215771e-08,3e-05,IZ,823.0,1,,,
AX1-1a,AX1-1,AX1,1.11e-07,4.131956374040016e-06,-7.261663408736939e-08,-5.084671458739223e-08,-6.680146756987736e-08,-6.56841161465557e-08,6.709331881263579e-08,-4.1308894393855025e-06,9.490868743197793e-10,3.592393456045726e-08,3e-05,ZI,828.0,1,,,
AX1-1a,AX1-1,AX1,1e-07,4.3794246497826355e-06,-5.279454636901169e-08,-2.9748198033767186e-08,-7.954734808548959e-08,-7.866638516323133e-08,4.472627923580139e-08,-4.378489628046963e-06,8.550332201079093e-10,3.8144065986605546e-08,3e-05,IZ,833.0,1,,,
AX1-1a,AX1-1,AX1,6.89e-08,4.79203525418221e-06,-4.2081388337874576e-08,-2.6808801043551163e-08,-4.751478656338765e-08,-7.357144292621227e-08,7.854281255660537e-08,-4.79082666631831e-06,5.891178886543495e-10,4.138780084561219e-08,3e-05,ZI,835.0,1,,,
AX1-1a,AX1-1,AX1,6.559999999999999e-08,5.067179709842193e-06,-3.4401007200141806e-08,-2.010232553009267e-08,-5.2113599107123424e-08,-1.5090283074573824e-07,1.0888504874134231e-07,-5.06376170387884e-06,5.609017923907884e-10,4.378129399917634e-08,3e-05,IZ,837.0,1,,,
AX1-1a,AX1-1,AX1,6.230000000000001e-08,5.291729331685605e-06,-3.044528833898489e-08,-2.5366057934246625e-08,-4.807221154505496e-08,-6.5247389645051e-09,-3.0020417620551895e-09,-5.291724457617619e-06,5.326856961272276e-10,4.566188118126132e-08,3e-05,ZI,839.0,1,,,
