tab	specimens
analysts	citations	method_codes	sample	specimen	volume	weight
Yiming Zhang	This study	LP-NOMAG	BD1-1	BD1-1b		
Yiming Zhang	This study	LP-NOMAG	BD1-2	BD1-2b		
Yiming Zhang	This study	LP-NOMAG	BD1-3	BD1-3b		
Yiming Zhang	This study	LP-NOMAG	BD1-8	BD1-8b		
Yiming Zhang	This study	LP-NOMAG	BD1-9	BD1-9b		
Yiming Zhang	This study	LP-NOMAG	BD1-10	BD1-10b		
Yiming Zhang	This study	LP-NOMAG	BD1-14	BD1-14b		
Yiming Zhang	This study	LP-NOMAG	BD1-15	BD1-15b		
Yiming Zhang	This study	LP-NOMAG	BD2-1	BD2-1b		
Yiming Zhang	This study	LP-NOMAG	BD2-2	BD2-2b		
Yiming Zhang	This study	LP-NOMAG	BD2-3	BD2-3b		
Yiming Zhang	This study	LP-NOMAG	BD2-4	BD2-4b		
Yiming Zhang	This study	LP-NOMAG	BD5-1	BD5-1b		
Yiming Zhang	This study	LP-NOMAG	BD5-2	BD5-2b		
Yiming Zhang	This study	LP-NOMAG	BD5-3	BD5-3b		
Yiming Zhang	This study	LP-NOMAG	BD5-4	BD5-4b		
Yiming Zhang	This study	LP-NOMAG	BD6-1	BD6-1b		
Yiming Zhang	This study	LP-NOMAG	BD6-2	BD6-2b		
Yiming Zhang	This study	LP-NOMAG	BD6-3	BD6-3b		
Yiming Zhang	This study	LP-NOMAG	BD6-4	BD6-4b		
Yiming Zhang	This study	LP-NOMAG	BD7-2	BD7-2b		
Yiming Zhang	This study	LP-NOMAG	BD7-3	BD7-3b		
Yiming Zhang	This study	LP-NOMAG	BD7-4	BD7-4b		
