tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_mad	specimen_int_dang	specimen_scat
AX11-4a	475	564	30	1.00	-1.00	-	75.1	1.000e+01	6.741e-01	7.000e+00	9.138e-02	1.683e+00	3.023e+00	t
AX11-4a	475	566	30	1.00	-1.00	-	73.9	1.100e+01	6.766e-01	8.000e+00	8.060e-02	1.567e+00	3.216e+00	t
AX11-4a	475	570	30	1.00	-1.00	-	74.5	1.200e+01	7.229e-01	8.000e+00	7.181e-02	1.595e+00	3.081e+00	t
AX11-4a	475	575	30	1.00	-1.00	-	74.1	1.300e+01	7.284e-01	9.000e+00	6.486e-02	1.555e+00	3.089e+00	t
AX11-4a	475	580	30	1.00	-1.00	-	74.3	1.400e+01	7.404e-01	9.000e+00	5.946e-02	1.567e+00	3.025e+00	t
AX11-4a	475	585	30	1.00	-1.00	-	74.3	1.500e+01	7.436e-01	1.000e+01	5.505e-02	1.572e+00	2.985e+00	t
AX11-4a	500	564	30	1.00	-1.00	-	73.8	9.000e+00	6.151e-01	7.000e+00	1.112e-01	1.559e+00	3.184e+00	t
AX11-4a	500	566	30	1.00	-1.00	-	72.6	1.000e+01	6.176e-01	8.000e+00	9.706e-02	1.454e+00	3.425e+00	t
AX11-4a	500	570	30	1.00	-1.00	-	73.3	1.100e+01	6.639e-01	8.000e+00	8.598e-02	1.529e+00	3.274e+00	t
AX11-4a	500	575	30	1.00	-1.00	-	73.0	1.200e+01	6.694e-01	9.000e+00	7.716e-02	1.499e+00	3.297e+00	t
AX11-4a	500	580	30	1.00	-1.00	-	73.2	1.300e+01	6.814e-01	9.000e+00	7.048e-02	1.528e+00	3.233e+00	t
AX11-4a	500	585	30	1.00	-1.00	-	73.3	1.400e+01	6.846e-01	1.000e+01	6.503e-02	1.545e+00	3.196e+00	t
AX11-4a	520	570	30	1.00	-1.00	-	76.7	1.000e+01	6.062e-01	8.000e+00	1.085e-01	1.403e+00	4.176e+00	t
AX11-4a	520	575	30	1.00	-1.00	-	76.0	1.100e+01	6.116e-01	9.000e+00	9.662e-02	1.448e+00	4.163e+00	t
AX11-4a	520	580	30	1.00	-1.00	-	76.2	1.200e+01	6.236e-01	9.000e+00	8.754e-02	1.565e+00	4.054e+00	t
AX11-4a	520	585	30	1.00	-1.00	-	76.1	1.300e+01	6.269e-01	1.000e+01	8.031e-02	1.636e+00	3.987e+00	t
AX11-5a	0	564	30	1.00	-1.00	-	76.4	1.700e+01	8.791e-01	7.000e+00	4.364e-02	4.349e+00	1.089e+00	t
AX11-5a	0	566	30	1.00	-1.00	-	75.8	1.800e+01	8.816e-01	8.000e+00	3.912e-02	4.042e+00	8.811e-01	t
AX11-5a	0	570	30	1.00	-1.00	-	76.0	1.900e+01	9.280e-01	8.000e+00	3.532e-02	3.773e+00	7.142e-01	t
AX11-5a	0	575	30	1.00	-1.00	-	75.7	2.000e+01	9.316e-01	9.000e+00	3.236e-02	3.566e+00	6.133e-01	t
AX11-5a	0	580	30	1.00	-1.00	-	75.8	2.100e+01	9.472e-01	9.000e+00	2.992e-02	3.390e+00	5.796e-01	t
AX11-5a	0	585	30	1.00	-1.00	-	75.7	2.200e+01	9.507e-01	1.000e+01	2.792e-02	3.251e+00	5.299e-01	t
AX11-5a	100	560	30	1.00	-1.00	-	79.5	1.400e+01	8.024e-01	6.000e+00	5.760e-02	4.528e+00	1.766e+00	t
AX11-5a	100	562	30	1.00	-1.00	-	75.5	1.500e+01	8.067e-01	7.000e+00	5.342e-02	4.072e+00	1.331e+00	t
AX11-5a	100	564	30	1.00	-1.00	-	76.4	1.600e+01	8.573e-01	7.000e+00	4.698e-02	3.721e+00	9.778e-01	t
AX11-5a	100	566	30	1.00	-1.00	-	75.8	1.700e+01	8.598e-01	8.000e+00	4.202e-02	3.462e+00	7.967e-01	t
AX11-5a	100	570	30	1.00	-1.00	-	76.0	1.800e+01	9.062e-01	8.000e+00	3.787e-02	3.232e+00	6.776e-01	t
AX11-5a	100	575	30	1.00	-1.00	-	75.8	1.900e+01	9.098e-01	9.000e+00	3.465e-02	3.055e+00	5.981e-01	t
AX11-5a	100	580	30	1.00	-1.00	-	75.8	2.000e+01	9.254e-01	9.000e+00	3.200e-02	2.905e+00	5.859e-01	t
AX11-5a	100	585	30	1.00	-1.00	-	75.7	2.100e+01	9.289e-01	1.000e+01	2.984e-02	2.787e+00	5.516e-01	t
AX11-5a	200	555	30	1.00	-1.00	-	76.4	1.200e+01	6.526e-01	6.000e+00	7.680e-02	4.881e+00	2.724e+00	t
AX11-5a	200	560	30	1.00	-1.00	-	79.2	1.300e+01	7.625e-01	6.000e+00	6.297e-02	4.199e+00	1.797e+00	t
AX11-5a	200	562	30	1.00	-1.00	-	75.0	1.400e+01	7.668e-01	7.000e+00	5.788e-02	3.786e+00	1.361e+00	t
AX11-5a	200	564	30	1.00	-1.00	-	76.1	1.500e+01	8.174e-01	7.000e+00	5.080e-02	3.463e+00	1.034e+00	t
