Data,IDENT,SLAT,SLONG,AGE,IntM,Nint,F,DF,VDM,Comments,AUTHORS,YEAR,JOURNAL,VOL,PAGES,NOTE,MagIC,Ref
9160,flow11,19.67,-155,0.05,T+,1,38.3,&nbsp;,9.5,"SameflowsasHSDP1,REF139","LajC.,KisselC.,DaviesC.,GubbinsD.",2011,PhysicsoftheEarthandPlanetaryInteriors,187,170-187,Sameflowsasref139,,680
2706,SOH-4Flow149,19.28,-155,0.05,T+,1,15.6,&nbsp;,3.5,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2707,SOH-4Flow150,19.28,-155,0.05,T+,2,13.9,1.2,3.1,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2708,SOH-4Flow151,19.28,-155,0.05,T+,2,18.2,1.7,4.1,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2709,SOH-4Flow152,19.28,-155,0.05,T+,4,18.4,1.3,4.2,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2710,SOH-4Flow153,19.28,-155,0.05,T+,2,29.5,5.4,6.7,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2711,SOH-4Flow155,19.28,-155,0.05,T+,2,20.3,0,4.6,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2572,45,40.2,45.4,0.05,T-,30,48,5.5,8,VDMc,"Solodovnikov,G.M.",2000,"Izv.,Phys.SolidEarth(Eng.Trans.)",36,468-475,&nbsp;,,172
2573,46,40.2,45.4,0.05,T-,41,48,6.4,7.7,VDMc,"Solodovnikov,G.M.",2000,"Izv.,Phys.SolidEarth(Eng.Trans.)",36,468-475,&nbsp;,,172
2574,47,40.2,45.7,0.05,T-,20,48,8.9,7.5,VDMc,"Solodovnikov,G.M.",2000,"Izv.,Phys.SolidEarth(Eng.Trans.)",36,468-475,&nbsp;,,172
6240,GC03,19.7,-113.6,0.05,T+,2,18.1,0.4,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
310,07D-2,3.2,-83,0.05,T+,2,31.5,2.5,&nbsp;,&nbsp;,"Gromme,C.S.,Mankinen,E.A.,Marshall,M.,Coe,R.S.",1979,J.Geophys.Res.,84,3553-3575,&nbsp;,,32
311,104B,-19.8,66.1,0.05,T+,1,50,&nbsp;,&nbsp;,&nbsp;,"Gromme,C.S.,Mankinen,E.A.,Marshall,M.,Coe,R.S.",1979,J.Geophys.Res.,84,3553-3575,&nbsp;,,32
313,17D-2,0.8,-86.1,0.05,T+,1,43,&nbsp;,&nbsp;,&nbsp;,"Gromme,C.S.,Mankinen,E.A.,Marshall,M.,Coe,R.S.",1979,J.Geophys.Res.,84,3553-3575,&nbsp;,,32
314,1.085416667,15.3,-104.6,0.05,T+,2,42.5,1.5,&nbsp;,&nbsp;,"Gromme,C.S.,Mankinen,E.A.,Marshall,M.,Coe,R.S.",1979,J.Geophys.Res.,84,3553-3575,&nbsp;,,32
315,93,-12.4,65.9,0.05,T+,2,46.5,2.5,&nbsp;,&nbsp;,"Gromme,C.S.,Mankinen,E.A.,Marshall,M.,Coe,R.S.",1979,J.Geophys.Res.,84,3553-3575,&nbsp;,,32
1356,Boissejour,46,3,0.05,T-,4,20,1,3.3,&nbsp;,"Barbetti,M,Flude,K.",1979,Nature,278,153-156,&nbsp;,,91
9369,MC24,45.87,3.06,0.06,T+,6,52.2,11.6,8.6,VDM,"Laj,C.,Guillou,H.,Kissel,C.",2014,EarthandPlanetaryScienceLetters,387,184-197,&nbsp;,,688
9161,flow12,19.67,-155,0.06,T+,3,39.4,6.9,9.8,"SameflowsasHSDP1,REF139","LajC.,KisselC.,DaviesC.,GubbinsD.",2011,PhysicsoftheEarthandPlanetaryInteriors,187,170-187,Sameflowsasref139,,680
9162,flow14,19.67,-155,0.06,T+,3,21.9,3.9,5.5,"SameflowsasHSDP1,REF139","LajC.,KisselC.,DaviesC.,GubbinsD.",2011,PhysicsoftheEarthandPlanetaryInteriors,187,170-187,Sameflowsasref139,,680
9022,EG,21.2,-104.47,0.06,MSPDp,9,42,5,8,&nbsp;,"Michalk,DM.,Biggin,AJ.,Knudsen,MF.,Bohnel,HN.,Nowaczyk,NR.,Ownby,S.,Lopez-Martinez,M.",2010,PhysicsoftheEarthandPlanetaryInteriors,179,139-156,&nbsp;,,666
8970,mc225,-77.58,166.8,0.06,T+,4,28.6,3.1,4.1,VDMc,"Lawrence,KP.,Tauxe,L.,Staudigel,H.,Constable,CG.,Koppers,A.,McIntosh,W.,Johnson,CL.",2009,"Geochem,Geophys,Geosystems",10,27-Jan,&nbsp;,,663
8073,HamptonPark,-36.95,174.89,0.06,LTD-DHT-S,6,9.5,1.2,2.1,&nbsp;,"Mochizuki,N,Tsunakawa,H.,Shibuya,H.,Cassidy,J.,Smith,I.E.M.",2006,Phys.EarthPlanet.Interiors,154,168-179,&nbsp;,,605
8526,mc13,-77.64,166.41,0.06,T+,3,28.8,3.3,4.2,"VADM=(3,78+-0,43)x10^22Am^2","TauxeL.,GansP.,MankinenE.A.",2004,"Geochem.,Geophys.,Geosyst.",5,doi:10.1029/2003GC000656,&nbsp;,,639
8528,mc28,-78.29,164.73,0.06,T+,2,7.2,1.4,1,"VADM=(0,94+-0,18)x10^22Am^2","TauxeL.,GansP.,MankinenE.A.",2004,"Geochem.,Geophys.,Geosyst.",5,doi:10.1029/2003GC000656,&nbsp;,,639
2712,SOH-4Flow157,19.28,-155,0.06,T+,1,29.1,&nbsp;,6.6,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2713,SOH-4Flow158,19.28,-155,0.06,T+,2,20.2,2.6,4.6,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2714,SOH-4Flow159,19.28,-155,0.06,T+,2,25.9,2.1,5.9,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
