Data,IDENT,SLAT,SLONG,AGE,IntM,Nint,F,DF,VDM,P,Ndir,INC,DEC,k,a95,AUTHORS,YEAR,JOURNAL,VOL,PAGES,NOTE,MagIC,Ref
2711,SOH-4Flow155,19.28,-155,0.05,T+,2,20.3,0,4.6,N,4,26.6,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2572,45,40.2,45.4,0.05,T-,30,48,5.5,8,N,30,62,3,44,4,"Solodovnikov,G.M.",2000,"Izv.,Phys.SolidEarth(Eng.Trans.)",36,468-475,&nbsp;,,172
2573,46,40.2,45.4,0.05,T-,41,48,6.4,7.7,N,41,65,2,125,2,"Solodovnikov,G.M.",2000,"Izv.,Phys.SolidEarth(Eng.Trans.)",36,468-475,&nbsp;,,172
2574,47,40.2,45.7,0.05,T-,20,48,8.9,7.5,N,20,67,356,44,5,"Solodovnikov,G.M.",2000,"Izv.,Phys.SolidEarth(Eng.Trans.)",36,468-475,&nbsp;,,172
6240,GC03,19.7,-113.6,0.05,T+,2,18.1,0.4,&nbsp;,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
9160,flow11,19.67,-155,0.05,T+,1,38.3,&nbsp;,9.5,N,2,19,&nbsp;,&nbsp;,&nbsp;,"LajC.,KisselC.,DaviesC.,GubbinsD.",2011,PhysicsoftheEarthandPlanetaryInteriors,187,170-187,Sameflowsasref139,,680
1400,FLY,50.082,7.019,0.06,T+,6,62,2.7,10.1,N,8,64,5,612.5,2,"Schnepp,E.,Hradetzky,H.",1994,J.Geophys.Res.,99,9061-9076,&nbsp;,,97
1428,1,37.8,14.9,0.06,T+,4,50.5,13.3,8.7,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tric,E.,Valet,J.P.,Gillot,P.Y.,Lemeur,I.",1994,Phys.EarthPlanet.Interiors,85,113-129,&nbsp;,,99
1571,3/2/89,9.55,-104.2,0.06,T+,1,15.6,&nbsp;,3.9,N,&nbsp;,&nbsp;,&nbsp;,7692,0.6,"Mejia,V.,Opdyke,N.D.,Perfit,M.R.",1996,Geophys.Res.Lett.,23,475-478,&nbsp;,,111
1574,2489-9,9.55,-104.2,0.06,T+,2,12.5,0.4,3.1,N,&nbsp;,&nbsp;,&nbsp;,370,2.4,"Mejia,V.,Opdyke,N.D.,Perfit,M.R.",1996,Geophys.Res.Lett.,23,475-478,&nbsp;,,111
2712,SOH-4Flow157,19.28,-155,0.06,T+,1,29.1,&nbsp;,6.6,N,3,28.5,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2713,SOH-4Flow158,19.28,-155,0.06,T+,2,20.2,2.6,4.6,N,4,23.3,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2714,SOH-4Flow159,19.28,-155,0.06,T+,2,25.9,2.1,5.9,N,3,24.4,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2715,SOH-4Flow160,19.28,-155,0.06,T+,2,16.4,3.7,3.7,N,4,22.6,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2716,SOH-4Flow164,19.28,-155,0.06,T+,4,28.2,4.9,6.4,N,7,24.4,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2717,SOH-4Flow166,19.28,-155,0.06,T+,2,23.2,4.2,5.3,N,4,31.8,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2718,SOH-4Flow167,19.28,-155,0.06,T+,1,19.8,&nbsp;,4.5,N,3,24.4,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2719,SOH-4Flow168,19.28,-155,0.06,T+,2,27.2,8,6.2,N,5,26.1,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2720,SOH-4Flow170,19.28,-155,0.06,T+,3,23,6.2,5.2,N,3,31.5,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2721,SOH-4Flow171,19.28,-155,0.06,T+,3,25.9,1.1,5.9,N,5,36,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2722,SOH-4Flow172,19.28,-155,0.06,T+,3,20.9,0.7,4.7,N,4,39.2,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2723,SOH-4Flow173,19.28,-155,0.06,T+,3,24.1,2,5.5,N,3,30.9,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2724,SOH-4Flow174,19.28,-155,0.06,T+,4,28.5,5.9,6.5,N,6,42.1,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
1696,53,37.7,-118.9,0.06,T+,1,20.6,&nbsp;,4.5,N,8,37.9,332.3,1604,1.4,"Mankinen,E.A.",1994,U.S.Geol.Surv.Open-FileReport,633,17-Jan,&nbsp;,,118
1932,27,19.75,-155.083,0.06,T+,2,15.3,2.4,2.9,N,2,51.9,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.",1999,J.Geophys.Res.,104,15317-15338,&nbsp;,,139
1933,28,19.75,-155.083,0.06,T+,3,19.9,3.1,3.5,N,3,57.2,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.",1999,J.Geophys.Res.,104,15317-15338,&nbsp;,,139
2782,Kumliscixe,42.45,44.48,0.06,T-,1,26.6,&nbsp;,4.9,N,4,54,352,40,5.8,"Goguitchaichvili,A.,Calvo,M.,Sologashvili,D.,Alva,L.,Urrutia,J.",2000,C.R.Acad.Sci.Paris,331,683-690,&nbsp;,,187
6247,GC14,19.7,-113.7,0.06,T+,1,19.7,&nbsp;,&nbsp;,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
6248,GC16,19.7,-113.7,0.06,T+,1,4.2,&nbsp;,&nbsp;,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
6256,GC28,19.7,-113.6,0.06,T+,4,12,0.8,&nbsp;,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
6282,GC58,17.4,-113.2,0.06,T+,4,24.2,2.3,&nbsp;,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
6295,GC72,17.4,-113.2,0.06,T+,2,40.8,0.5,&nbsp;,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
8073,HamptonPark,-36.95,174.89,0.06,LTD-DHT-S,6,9.5,1.2,2.1,T,18,-36.4,260.4,161.1,2.6,"Mochizuki,N,Tsunakawa,H.,Shibuya,H.,Cassidy,J.,Smith,I.E.M.",2006,Phys.EarthPlanet.Interiors,154,168-179,&nbsp;,,605
8526,mc13,-77.64,166.41,0.06,T+,3,28.8,3.3,4.2,N,8,-71.6,117,123,5,"TauxeL.,GansP.,MankinenE.A.",2004,"Geochem.,Geophys.,Geosyst.",5,doi:10.1029/2003GC000656,&nbsp;,,639
8528,mc28,-78.29,164.73,0.06,T+,2,7.2,1.4,1,N,6,-82.1,92,188,4.9,"TauxeL.,GansP.,MankinenE.A.",2004,"Geochem.,Geophys.,Geosyst.",5,doi:10.1029/2003GC000656,&nbsp;,,639
8970,mc225,-77.581,166.802,0.06,T+,4,28.6,3.1,4.1,N,&nbsp;,-74.6,114.3,952.3,1.7,"Lawrence,KP.,Tauxe,L.,Staudigel,H.,Constable,CG.,Koppers,A.,McIntosh,W.,Johnson,CL.",2009,"Geochem,Geophys,Geosystems",10,27-Jan,&nbsp;,,663
9022,EG,21.1969,-104.472,0.06,MSPDp,9,42,5,8,N,15,51,330.7,52.2,5.3,"Michalk,DM.,Biggin,AJ.,Knudsen,MF.,Bohnel,HN.,Nowaczyk,NR.,Ownby,S.,Lopez-Martinez,M.",2010,PhysicsoftheEarthandPlanetaryInteriors,179,139-156,&nbsp;,,666
9161,flow12,19.67,-155,0.06,T+,3,39.4,6.9,9.8,N,3,18.7,&nbsp;,&nbsp;,&nbsp;,"LajC.,KisselC.,DaviesC.,GubbinsD.",2011,PhysicsoftheEarthandPlanetaryInteriors,187,170-187,Sameflowsasref139,,680
9162,flow14,19.67,-155,0.06,T+,3,21.9,3.9,5.5,N,3,15.8,&nbsp;,&nbsp;,&nbsp;,"LajC.,KisselC.,DaviesC.,GubbinsD.",2011,PhysicsoftheEarthandPlanetaryInteriors,187,170-187,Sameflowsasref139,,680
9369,MC24,45.871,3.058,0.06,T+,6,52.2,11.6,8.6,N,9,63.2,331.2,108,5,"Laj,C.,Guillou,H.,Kissel,C.",2014,EarthandPlanetaryScienceLetters,387,184-197,&nbsp;,,688
1429,2,37.8,14.9,0.07,T+,1,45,&nbsp;,8,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tric,E.,Valet,J.P.,Gillot,P.Y.,Lemeur,I.",1994,Phys.EarthPlanet.Interiors,85,113-129,&nbsp;,,99
1520,RE02,-21,55.5,0.07,T+,2,16.4,1.6,3.7,N,3,-42,8.7,15,33.6,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1521,RE04,-21,55.5,0.07,T+,1,45.6,&nbsp;,9.9,N,3,-38.4,-7.5,91,13,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1522,RE04bis,-21,55.5,0.07,T+,1,47,&nbsp;,10.9,N,5,-36.4,-12.1,376,3.5,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1570,2489-12,9.55,-104.2,0.07,T+,4,8.5,0.2,2.1,N,&nbsp;,&nbsp;,&nbsp;,7160,0.7,"Mejia,V.,Opdyke,N.D.,Perfit,M.R.",1996,Geophys.Res.Lett.,23,475-478,&nbsp;,,111
2725,SOH-4Flow177,19.28,-155,0.07,T+,10,23.9,5.5,5.4,N,14,41.1,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2726,SOH-4Flow178,19.28,-155,0.07,T+,1,24.3,&nbsp;,5.5,N,3,35.2,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2727,SOH-4Flow179,19.28,-155,0.07,T+,3,24.6,2.2,5.6,N,3,31.4,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2728,SOH-4Flow180,19.28,-155,0.07,T+,3,20,3.9,4.5,N,4,30.8,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2729,SOH-4Flow181,19.28,-155,0.07,T+,3,29.9,10.8,6.8,N,3,38.4,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2730,SOH-4Flow182,19.28,-155,0.07,T+,1,24.1,&nbsp;,5.5,N,6,52.1,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2731,SOH-4Flow183,19.28,-155,0.07,T+,4,19.6,3.8,4.5,N,4,48.2,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2732,SOH-4Flow184,19.28,-155,0.07,T+,1,33,&nbsp;,7.5,N,3,38,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2733,SOH-4Flow185,19.28,-155,0.07,T+,4,35.8,0.8,8.1,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2734,SOH-4Flow186,19.28,-155,0.07,T+,1,16,&nbsp;,3.6,N,3,48.2,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2735,SOH-4Flow187,19.28,-155,0.07,T+,3,21,1.4,4.8,N,3,34.6,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2736,SOH-4Flow188,19.28,-155,0.07,T+,2,33,0.1,7.5,N,3,29.2,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2737,SOH-4Flow190,19.28,-155,0.07,T+,4,23.8,3.8,5.4,N,6,20,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
1741,VU12,38.4,15.3,0.07,T+,2,31,6.4,7.1,N,2,32.9,14,&nbsp;,&nbsp;,"Laj,C.,Rais,A.,Surmont,J.,Gillot,P.Y.,Guillou,H.,Kissel,C.,Zanella,E.",1997,Phys.EarthPlanet.Interiors,99,161-177,&nbsp;,,121
1934,29,19.75,-155.083,0.07,T+,3,15,1.9,3.3,N,3,35.9,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.",1999,J.Geophys.Res.,104,15317-15338,&nbsp;,,139
1935,30,19.75,-155.083,0.07,T+,3,14,1,2.9,N,3,43.1,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.",1999,J.Geophys.Res.,104,15317-15338,&nbsp;,,139
2818,Tammar166,21.6496,-45.2722,0.07,T+,1,37.7,&nbsp;,8.2,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Ravilly,M.,Horen,H.,Perrin,M.,Dyment,J.,Gente,P.,Guillou,H.",2001,Geophys.J.Int.,145,401-422,&nbsp;,,191
3070,OT24,35.874,137.554,0.07,T+,3,47.3,11.9,8.4,N,7,57,358.4,&nbsp;,1.4,"Tanaka,H.,Kobayashi,K.",2003,EarthPlanetsSpace,55,189-202,&nbsp;,,207
3073,OT37,35.898,137.525,0.07,T+,1,25.4,&nbsp;,3.8,N,6,71.5,342.5,&nbsp;,5,"Tanaka,H.,Kobayashi,K.",2003,EarthPlanetsSpace,55,189-202,&nbsp;,,207
6281,GC57,17.4,-113.2,0.07,T+,3,10,1.4,&nbsp;,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
8525,mc09,-77.55,166.2,0.07,T+,2,27.5,0.6,3.6,N,8,-82.7,258,220,3.7,"TauxeL.,GansP.,MankinenE.A.",2004,"Geochem.,Geophys.,Geosyst.",5,doi:10.1029/2003GC000656,&nbsp;,,639
8963,mc200,-77.55,166.161,0.07,T+,3,14.3,1.2,1.9,N,&nbsp;,-83.7,296.8,389.6,3.9,"Lawrence,KP.,Tauxe,L.,Staudigel,H.,Constable,CG.,Koppers,A.,McIntosh,W.,Johnson,CL.",2009,"Geochem,Geophys,Geosystems",10,27-Jan,&nbsp;,,663
9052,UZ31,32.739,130.303,0.07,LTD-DHT-S,6,28,6,5.7,N,9,46,22.9,42.2,8.8,"Yamamoto,Y.,Hidetoshi,S.,Hidefumi,T.,Hoshizumi,H.",2010,EarthandPlanetarySceinceLetters,293,236-249,&nbsp;,,667
9086,UZ30,32.729,130.296,0.07,LTD-DHT-S,5,32.8,6.6,8.5,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Yamamoto,Y.,Hidetoshi,S.,Hidefumi,T.,Hoshizumi,H.",2010,EarthandPlanetarySceinceLetters,293,236-249,&nbsp;,,667
9163,flow15,19.67,-155,0.07,T+,2,28.4,&nbsp;,6.9,N,2,23.7,&nbsp;,&nbsp;,&nbsp;,"LajC.,KisselC.,DaviesC.,GubbinsD.",2011,PhysicsoftheEarthandPlanetaryInteriors,187,170-187,Sameflowsasref139,,680
9370,MC37,45.848,3.021,0.07,T+,1,17.7,&nbsp;,3.3,N,6,52.5,355.6,23,14.3,"Laj,C.,Guillou,H.,Kissel,C.",2014,EarthandPlanetaryScienceLetters,387,184-197,&nbsp;,,688
248,RA01,-21,55.5,0.08,T+,2,36.4,4.5,7.4,N,3,-45.2,7.8,68,15,"Chauvin,A.,Gillot,P.Y.,Bonhommet,N.",1991,J.Geophys.Res.,96,1981-2006,&nbsp;,,26
249,RA02,-21,55.5,0.08,T+,1,32.8,&nbsp;,6.5,N,3,-48.5,1.5,249,7.8,"Chauvin,A.,Gillot,P.Y.,Bonhommet,N.",1991,J.Geophys.Res.,96,1981-2006,&nbsp;,,26
250,RA03,-21,55.5,0.08,T+,5,31.9,6.3,6.6,N,3,-43.4,1.3,116,11.5,"Chauvin,A.,Gillot,P.Y.,Bonhommet,N.",1991,J.Geophys.Res.,96,1981-2006,&nbsp;,,26
251,RA04,-21,55.5,0.08,T+,2,55,6.6,8.8,N,4,-64.8,352,136,7.9,"Chauvin,A.,Gillot,P.Y.,Bonhommet,N.",1991,J.Geophys.Res.,96,1981-2006,&nbsp;,,26
252,RA05,-21,55.5,0.08,T+,3,54.2,9.5,8.8,N,3,-63.9,353.1,25,25.2,"Chauvin,A.,Gillot,P.Y.,Bonhommet,N.",1991,J.Geophys.Res.,96,1981-2006,&nbsp;,,26
1430,4,37.8,14.9,0.08,T+,3,15.2,1.7,2.7,N,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tric,E.,Valet,J.P.,Gillot,P.Y.,Lemeur,I.",1994,Phys.EarthPlanet.Interiors,85,113-129,&nbsp;,,99
1431,5,37.8,14.9,0.08,T+,3,43.6,14.6,10.3,N,&nbsp;,27.3,339.4,&nbsp;,10,"Tric,E.,Valet,J.P.,Gillot,P.Y.,Lemeur,I.",1994,Phys.EarthPlanet.Interiors,85,113-129,&nbsp;,,99
1523,RE07,-21,55.5,0.08,T+,3,29.2,0.6,6.5,N,5,-44.4,-5.1,43,9.4,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1524,RE07bis,-21,55.5,0.08,T+,4,33.6,10.3,6.9,N,4,-50.4,2.4,38,11,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1525,RE09bis,-21,55.5,0.08,T+,3,43.7,9.6,9.5,N,6,-47.6,-10.2,51,8.5,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1526,RE10,-21,55.5,0.08,T+,5,47.4,9.2,10.2,N,4,-43.7,-5.5,122,8.4,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1527,RE11,-21,55.5,0.08,T+,2,44.6,8.8,10.6,N,3,-29.8,-7.4,199,11.3,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1528,RE12,-21,55.5,0.08,T+,4,51,3.5,11.7,N,3,-37.4,-20.4,727,4.6,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1529,RE13,-21,55.5,0.08,T+,2,34.8,4.9,7.8,N,5,-32.2,-5.7,180,4.1,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1530,RE14,-21,55.5,0.08,T+,2,64.4,3,14.2,N,4,-38.9,-17.3,140,6.5,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
