Data,IDENT,SLAT,SLONG,AGE,IntM,Nint,F,DF,VDM,P,Ndir,INC,DEC,k,a95,AUTHORS,YEAR,JOURNAL,VOL,PAGES,NOTE,MagIC,Ref
310,07D-2,3.2,-83,0.05,T+,2,31.5,2.5,&nbsp;,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gromme,C.S.,Mankinen,E.A.,Marshall,M.,Coe,R.S.",1979,J.Geophys.Res.,84,3553-3575,&nbsp;,,32
311,104B,-19.8,66.1,0.05,T+,1,50,&nbsp;,&nbsp;,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gromme,C.S.,Mankinen,E.A.,Marshall,M.,Coe,R.S.",1979,J.Geophys.Res.,84,3553-3575,&nbsp;,,32
313,17D-2,0.8,-86.1,0.05,T+,1,43,&nbsp;,&nbsp;,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gromme,C.S.,Mankinen,E.A.,Marshall,M.,Coe,R.S.",1979,J.Geophys.Res.,84,3553-3575,&nbsp;,,32
314,1.085416667,15.3,-104.6,0.05,T+,2,42.5,1.5,&nbsp;,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gromme,C.S.,Mankinen,E.A.,Marshall,M.,Coe,R.S.",1979,J.Geophys.Res.,84,3553-3575,&nbsp;,,32
315,93,-12.4,65.9,0.05,T+,2,46.5,2.5,&nbsp;,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Gromme,C.S.,Mankinen,E.A.,Marshall,M.,Coe,R.S.",1979,J.Geophys.Res.,84,3553-3575,&nbsp;,,32
1356,Boissejour,46,3,0.05,T-,4,20,1,3.3,N,&nbsp;,62,&nbsp;,&nbsp;,&nbsp;,"Barbetti,M,Flude,K.",1979,Nature,278,153-156,&nbsp;,,91
2706,SOH-4Flow149,19.28,-155,0.05,T+,1,15.6,&nbsp;,3.5,N,2,18.1,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2707,SOH-4Flow150,19.28,-155,0.05,T+,2,13.9,1.2,3.1,N,4,18.7,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2708,SOH-4Flow151,19.28,-155,0.05,T+,2,18.2,1.7,4.1,N,6,25,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2709,SOH-4Flow152,19.28,-155,0.05,T+,4,18.4,1.3,4.2,N,4,29.8,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2710,SOH-4Flow153,19.28,-155,0.05,T+,2,29.5,5.4,6.7,N,3,24.9,&nbsp;,&nbsp;,&nbsp;,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
