site,dir_dec,dir_inc,a95,n,int_abs,int_abs_sigma,VDM,VDM_sigma,QPI,age,age_sigma
Р4797 ,247.9,9.8,,16,4.7,0.36,0.954,0.09,,401,7
Р4815 ,266.2,-8.5,,8,3.68,0.26,1.04,0.07,,401,7
