 Data , IDENT, SLAT, SLONG, AGE , DAGE, AgeMtd  , P, Country , Continent , IntM, Ndir, INC , DEC , k, a95 , Nint, F, DF  , DFPc, VDM , GROUP, TYPE, FORM, ROCKMAG , COMMENTS  , LOCATION NAME , Ref 
310,07D-2 ,3.2,-83,0.05,0.05,Stratigraphy,O ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,31.5,2.5,8,&nbsp;,Volcanic  ,Basalt,&nbsp;,&nbsp;,&nbsp;,&nbsp;,32
311,104B  ,-19.8,66.1,0.05,0.05,Stratigraphy,O ,&nbsp;,Indian Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,50,&nbsp;,&nbsp;,&nbsp;,Volcanic  ,Basalt,&nbsp;,&nbsp;,&nbsp;,&nbsp;,32
313,17D-2 ,0.8,-86.1,0.05,0.05,Stratigraphy,O ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,43,&nbsp;,&nbsp;,&nbsp;,Volcanic  ,Basalt,&nbsp;,&nbsp;,&nbsp;,&nbsp;,32
314,1.085416667,15.3,-104.6,0.05,0.05,Stratigraphy,O ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,42.5,1.5,4,&nbsp;,Volcanic  ,Basalt,&nbsp;,&nbsp;,&nbsp;,&nbsp;,32
315,93,-12.4,65.9,0.05,0.05,Stratigraphy,O ,&nbsp;,Indian Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,46.5,2.5,5,&nbsp;,Volcanic  ,Basalt,&nbsp;,&nbsp;,&nbsp;,&nbsp;,32
1356,Boissejour  ,46,3,0.05,&nbsp;,Thermoluminescence  ,N ,France,Europe,T-,&nbsp;,62,&nbsp;,&nbsp;,&nbsp;,4,20,1,5,3.3,Sedimentary ,Sandstone ,Baked contact,Magnetite and TiMa with Tc around 2508C ,&nbsp;,&nbsp;,91
2706,SOH-4 Flow 149  ,19.28,-155,0.05,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,2,18.1,&nbsp;,&nbsp;,&nbsp;,1,15.6,&nbsp;,&nbsp;,3.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2707,SOH-4 Flow 150  ,19.28,-155,0.05,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,4,18.7,&nbsp;,&nbsp;,&nbsp;,2,13.9,1.2,9,3.1,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2708,SOH-4 Flow 151  ,19.28,-155,0.05,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,6,25,&nbsp;,&nbsp;,&nbsp;,2,18.2,1.7,9,4.1,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2709,SOH-4 Flow 152  ,19.28,-155,0.05,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,4,29.8,&nbsp;,&nbsp;,&nbsp;,4,18.4,1.3,7,4.2,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
