tab ,sites,,,,,,,,,,,,,,,,,,,,,,,
age,age_high,age_low,age_unit,analysts,citations,dir_alpha95,dir_dec,dir_inc,dir_k,dir_n_samples,dir_n_total_samples,dir_tilt_correction,geologic_classes,geologic_types,int_abs,int_abs_sigma,int_n_specimens,int_n_total_specimens,lat,lithologies,location,lon,method_codes,site
550.5,553.5,548.5,Ma,@dthal,10.1016/S0012-821X(98)00171-X:This study,12,146.5,19.5,41.9,5,5,0,Igneous,Volcanic Dike,0.0000072,0.0000036,6,19,49.51,Basalt,Skinner Cove Formation,301.91,LP-PI-ALT-AFARM:LP-PI-BT-IZZI:LP-PI-TRM:LP-PI-M:LP-PI-ALT-PMRM:LP-PI-ARM:LP-DIR-M:LP-PI-ALT-PTRM,SC01
550.5,553.5,548.5,Ma,@dthal,10.1016/S0012-821X(98)00171-X:This study,9.2,142.7,56,54.4,6,6,0,Igneous,Volcanic Dike,6.1E-06,0.0000019,5,29,49.51,Basalt,Skinner Cove Formation,301.91,LP-PI-ALT-AFARM:LP-PI-REL-PT:LP-PI-BT-IZZI:LP-PI-BT:LP-PI-TRM:LP-PI-M:LP-PI-ALT-PMRM:LP-PI-ARM:LP-DIR-M:LP-PI-ALT-PTRM:LP-PI-M-ZI,SC03
550.5,553.5,548.5,Ma,@dthal,10.1016/S0012-821X(98)00171-X:This study,13.9,139.3,59.8,24.1,6,6,0,Igneous,Volcanic Dike,0.000006,0.0000017,10,26,49.51,Basalt,Skinner Cove Formation,301.91,LP-PI-ALT-AFARM:LP-PI-BT-IZZI:LP-PI-TRM:LP-PI-M:LP-PI-ALT-PMRM:LP-PI-ARM:LP-DIR-M:LP-PI-ALT-PTRM,SC05
550.5,553.5,548.5,Ma,@dthal,10.1016/S0012-821X(98)00171-X:This study,38.3,133.6,38.3,10.7,6,6,0,Igneous,Volcanic Dike,0.0000103,0.0000018,2,10,49.51,Basalt,Skinner Cove Formation,301.91,LP-PI-ALT-AFARM:LP-PI-BT-IZZI:LP-PI-TRM:LP-PI-M:LP-PI-ALT-PMRM:LP-PI-ARM:LP-DIR-M:LP-DIR-AF,SC09
550.5,553.5,548.5,Ma,@dthal,10.1016/S0012-821X(98)00171-X:This study,17.5,156.7,28.8,28.6,4,4,0,Igneous,Volcanic Dike,0.0000029,0.000001,3,14,49.51,Basalt,Skinner Cove Formation,301.91,LP-PI-ALT-AFARM:LP-PI-REL-PT:LP-PI-BT-IZZI:LP-PI-BT:LP-PI-TRM:LP-PI-M:LP-PI-ALT-PMRM:LP-PI-ARM:LP-DIR-M:LP-PI-ALT-PTRM:LP-PI-M-ZI:LP-DIR-AF,SC11
550.5,553.5,548.5,Ma,@dthal,10.1016/S0012-821X(98)00171-X:This study,14.5,128.9,16.9,28.7,5,5,0,Igneous,Volcanic Dike,,,0,4,49.51,Basalt,Skinner Cove Formation,301.91,LP-PI-BT-IZZI:LP-PI-M:LP-PI-ALT-PMRM:LP-DIR-M:LP-DIR-AF,SC13
550.5,553.5,548.5,Ma,@dthal,10.1016/S0012-821X(98)00171-X:This study,11.1,151.1,17.2,22.4,9,9,0,Igneous,Volcanic Dike,0.0000026,5.00E-09,2,7,49.51,Basalt,Skinner Cove Formation,301.91,LP-PI-ALT-AFARM:LP-PI-REL-PT:LP-PI-BT-IZZI:LP-PI-TRM:LP-PI-M:LP-PI-ALT-PMRM:LP-PI-ARM:LP-DIR-M:LP-PI-ALT-PTRM:LP-DIR-AF,SC14
550.5,553.5,548.5,Ma,@dthal,10.1016/S0012-821X(98)00171-X:This study,8.5,145.8,23.2,81.9,5,5,0,Igneous,Volcanic Dike,0.000007,,1,7,49.51,Basalt,Skinner Cove Formation,301.91,LP-PI-ALT-AFARM:LP-PI-REL-PT:LP-PI-BT-IZZI:LP-PI-TRM:LP-PI-M:LP-PI-ALT-PMRM:LP-PI-ARM:LP-DIR-M,SC15
556,553.5,561,Ma,@dthal,10.1016/S0012-821X(98)00171-X:This study,14,155.9,19.7,23.7,6,6,0,Igneous,Volcanic Dike,,,0,7,49.51,Basalt,Skinner Cove Formation,301.91,LP-PI-ALT-AFARM:LP-PI-REL-PT:LP-PI-BT-IZZI:LP-PI-TRM:LP-PI-M:LP-PI-ALT-PMRM:LP-PI-ARM:LP-DIR-M,SC06
550.5,553.5,548.5,Ma,@dthal,10.1016/S0012-821X(98)00171-X:This study,,,,,,,0,Igneous,Volcanic Dike,0.000009,0.0000048,15,30,49.51,Basalt,Skinner Cove Formation,301.91,LP-PI-ALT-AFARM:LP-PI-REL-PT:LP-PI-BT-IZZI:LP-PI-BT:LP-PI-TRM:LP-PI-M:LP-PI-ALT-PMRM:LP-PI-ARM:LP-DIR-M:LP-PI-ALT-PTRM:LP-PI-M-ZI:LP-DIR-AF,SCTS
