site,age,age_sigma,type,lat,lon,dec,inc,n,k,a95,F,F_sigma,NPI,Nmic,Nshaw,Nthel,VDM,VDM_sigma,QPI
MD2,755,3,Dike,-23.96,115.61,6.2,38.6,10,64,6.1,28.9,2.6,2,2,0,0,6.29,0.57,7
MD3,755,3,Dike,-23.88,115.64,15.8,33.3,6,205,4.3,28.2,4.7,4,3,0,1,6.41,1.08,7
MD6,755,3,Dike,-23.91,115.56,17.2,35.1,11,51,6.6,28.5,4.7,12,6,5,1,6.08,1.45,9
BM6,1070,6,Sill,-23.52,116.58,359.8,48.7,9,75,5.6,3,,1,0,1,0,0.6,,6
BM7,1070,6,Sill,-23.94,116.91,343.7,42.9,6,257,3.8,14.3,7.6,12,7,5,0,2.98,1.53,8
BM8,1070,6,Sill,-23.78,116.56,337,35.2,8,41,8.2,2.9,0.4,3,2,1,0,0.64,0.1,8
