site,lat,lon,dir_dec,dir_inc,a95,int_abs,F_sigma,n,VDM,age,age_sigma
V5,62.3,116,148.1,81.7,9.9,8.7,4.8,4,11.6,370.5,7.5
V7,62.3,116.1,316.2,-42.3,5.6,6.7,1.7,5,14.1,370.5,7.5
V8,62.3,116.1,154.2,68,3.5,5.9,0.9,6,9.1,370.5,7.5
Vil13,62.6,115.4,211.3,75.2,6.1,4.7,1,6,6.6,370.5,7.5
Vil16-1,62.6,115.4,196,62.8,7.9,14,0.5,3,23.3,370.5,7.5
Vil16-2,62.6,115.4,184.3,59.5,10.9,2.5,0.7,9,4.3,370.5,7.5
Vil18-1,62.6,115.4,187.1,62.7,4.4,2.4,1.1,5,4.3,370.5,7.5
Vil20,62.3,116,203.3,75.9,10.1,10,2,5,14,370.5,7.5
Vil22,62.3,116.1,215.1,76.1,3.8,6.9,1.7,8,9.5,370.5,7.5
