site,dir_dec,dir_inc,a95,n,int_abs,int_abs_sigma,VDM,VDM_sigma,QPI,age,age_sigma
VM,30.6,-77.2,2.9,15,6.92,0.31,0.96,0.3,6,561,13
RA-3,17.6,-53.8,2.8,6,5.38,0.23,1,0.16,7,561,13
RA-2,16,-81.4,3,9,8.18,0.42,1.09,0.29,7,561,13
RA-1,13,82.8,7.9,10,4,0.36,0.53,0.2,8,580,9
