location,site,int_abs,F_signma,n,age,age_sigma,dir_inc
Koksa,070-7,7.7,3.2,3,392.9,4.8,42
Koksa,070-1,4.1,,1,392.9,4.8,-37.6
Sisim,45,7.8,4.2,7,392.9,4.8,-43.3
Truba,33,13.2,6.7,3,392.9,4.8,24
