UID,OLD_DATA,REF,IDENT,SLAT,SLONG,AGE,DAGE,AGEMTD,CONTINENT,REPLOC,INTM,P,NDIR,INC,DEC,K,A95,NINT,B,DB,DB%,DBN (%),VDM/VADM,VDM,VADM,GROUP,TYPE,FORM,ROCKMAG,COMMENTS,LOCATION NAME,QAGE,QSTAT,QTRM,QALT,QMD,QACN,QTECH,QLITH,QMAG,QDIR,QPI
294,315,32,93,-12.4,65.9,0.05,0.05,Stratigraphy,Indian Ocean,Indian Ocean,T+,O,,,,,,2,46.5,2.5,5.376344086,10.56681446,,,11.3,Volcanic,Basalt,,,VADMc,Central Indian Ocean,0,0,0,0,0,0,0,0,0,0,0
295,310,32,07D-2,3.2,277,0.05,0.05,Stratigraphy,Pacific Ocean,Pacific Ocean,T+,O,,,,,,2,31.5,2.5,7.936507937,15.6,,,8.1,Volcanic,Basalt,,,VADMc,Costa Rica Rift,0,0,0,0,0,0,0,0,0,0,0
296,311,32,104B,-19.8,66.1,0.05,0.05,Stratigraphy,Indian Ocean,Indian Ocean,T+,O,,,,,,1,50,,,,,,11.2,Volcanic,Basalt,,,VADMc,Central Indian Ocean,0,0,0,0,0,0,0,0,0,0,0
297,313,32,17D-2,0.8,273.9,0.05,0.05,Stratigraphy,Pacific Ocean,Pacific Ocean,T+,O,,,,,,1,43,,,,,,11.1,Volcanic,Basalt,,,VADMc,Galapagos Rift,0,0,0,0,0,0,0,0,0,0,0
298,314,32,26:03:00,15.3,255.4,0.05,0.05,Stratigraphy,Pacific Ocean,Pacific Ocean,T+,O,,,,,,2,42.5,1.5,3.529411765,6.925810268,,,10,Volcanic,Basalt,,,VADMc,East Pacific Rise,0,0,0,0,0,0,0,0,0,0,0
1104,1356,91,Boissejour,46,3,0.05,,Thermoluminescence,Europe,France,T-,N,,62,,,,4,20.3,0.5,2.5,4,3.3,3.4,3.3,Sedimentary,Sandstone,Baked contact,Magnetite and TiMa with Tc around 250∞C,,,0,0,0,0,0,0,0,0,0,0,0
2002,2572,172,45,40.2,45.4,0.05,0.05,Estimated,Europe,Armenia,T-,N,30,62,3,44,4,30,48,5.5,11,13.92472339,,7.999197316,,Volcanic,Basalt,Lava Flow,,VDMc,,,,,,,,,,,,
2003,2573,172,46,40.2,45.4,0.05,0.05,Estimated,Europe,Armenia,T-,N,41,65,2,125,2,41,48,6.4,13,15.79915338,,7.691375533,,Volcanic,Tuff,Baked contact,,VDMc,,,,,,,,,,,,
2004,2574,172,47,40.2,45.7,0.05,0.05,Estimated,Europe,Armenia,T-,N,20,67,356,44,5,20,48,8.9,18,23.59791974,,7.494016972,,Volcanic,Basalt,Lava Flow,,VDMc,,,,,,,,,,,,
2069,2706,181,SOH-4 Flow 149,19.28,205,0.0506,,Estimated,Pacific Ocean,Hawaii,T+,N,2,18.1,,,,1,15.6,,,,3.5,3.885350044,3.5,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
